,Key,Description,en,ko,origin
0,,,,학력,"title: '학력',"
1,,,,졸업 여부,"title: '졸업 여부',"
2,,,,모집 조건,"title: '모집 조건',"
3,,,,모집분야,"title: '모집분야',"
4,,,,모집인원,"title: '모집인원',"
5,,,,인원 미정,"label: '인원 미정',"
6,,,,직접 입력,"label: '직접 입력',"
7,,,,명,"suffixText: '명',"
8,,,,모집인원을 입력해주세요.,"hintText: '모집인원을 입력해주세요.',"
9,,,,성별,"title: '성별',"
10,,,,연령,"title: '연령',"
11,,,,연령 무관,"label: '연령 무관',"
12,,,,직접 입력,"label: '직접 입력',"
13,,,,세 이상,"suffixText: '세 이상',"
14,,,,세 이하,"suffixText: '세 이하',"
15,,,,중장년층 채용,"label: '중장년층 채용',"
16,,,,학력,"title: '학력',"
17,,,,학력을 선택해주세요.,"hintText: '학력을 선택해주세요.',"
18,,,,졸업 여부를 선택해 주세요.,"hintText: '졸업 여부를 선택해 주세요.',"
19,,,,경력,"title: '경력',"
20,,,,년 이상,"suffixText: '년 이상',"
21,,,,년 이하,"suffixText: '년 이하',"
22,,,,우대조건,"title: '우대조건',"
23,,,,우대조건 추가하기,"'우대조건 추가하기',"
24,,,,지원자격,"title: '지원자격',"
25,,,,입력하기,"text: '입력하기',"
