,Key,Description,en,ko,origin
0,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
1,,,,수정되었습니다.,"alertContent: '수정되었습니다.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,알림,"alertTitle: '알림',"
4,,,,운영자에 의하여 작성이 제한된 회원입니다.,"alertContent: '운영자에 의하여 작성이 제한된 회원입니다.',"
5,,,,확인,"alertConfirm: '확인',"
6,,,,알림,"alertTitle: '알림',"
7,,,,등록에 실패하였습니다.,showDefaultToast('등록에 실패하였습니다.');
8,,,,알림,"alertTitle: '알림',"
9,,,,금칙어,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 노무 상담 수정이 불가능합니다."","
10,,,,가 포함되어 노무 상담 수정이 불가능합니다.,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 노무 상담 수정이 불가능합니다."","
11,,,,확인,"alertConfirm: '확인',"
12,,,,사진 보관함,"child: const Text('사진 보관함'),"
13,,,,사진 찍기,"child: const Text('사진 찍기'),"
14,,,,파일 선택,"child: const Text('파일 선택'),"
15,,,,수정되었습니다.,"alertContent: '수정되었습니다.',"
16,,,,확인,"alertConfirm: '확인',"
17,,,,알림,"alertTitle: '알림',"
18,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
19,,,,확인,"alertConfirm: '확인',"
20,,,,알림,"alertTitle: '알림',"
21,,,,작성 취소,"alertTitle: '작성 취소',"
22,,,,페이지를 이동하시겠어요? n이동시 작성된 내용은 저장되지 않아요,"alertContent: '페이지를 이동하시겠어요?\n이동시 작성된 내용은 저장되지 않아요',"
23,,,,확인,"alertConfirm: '확인',"
24,,,,취소,"alertCancel: '취소',"
25,,,,작성 취소,"alertTitle: '작성 취소',"
26,,,,페이지를 이동하시겠어요? n이동 시 작성된 내용은 저장되지 않아요.,"alertContent: '페이지를 이동하시겠어요?\n이동 시 작성된 내용은 저장되지 않아요.',"
27,,,,확인,"alertConfirm: '확인',"
28,,,,취소,"alertCancel: '취소',"
29,,,,상담 수정,"title: '상담 수정',"
30,,,,상담 제목,"'상담 제목',"
31,,,,상담제목,"//   child: Text(""상담제목""),"
32,,,,제목을 입력해주세요.,"hintText: '제목을 입력해주세요.',"
33,,,,상담 내용,"TitleItem(title: '상담 내용'),"
34,,,,문의내용을 입력해주세요.,"hintText: '문의내용을 입력해주세요.',"
35,,,,첨부파일,"TitleItem(title: '첨부파일'),"
36,,,,상담 답변,"/*const TitleItem(title: '상담 답변'),"
37,,,,등록된 답변이 없습니다.,"'등록된 답변이 없습니다.',"
38,,,,수정하기,"text: '수정하기',"
