,Key,Description,en,ko,origin
0,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
1,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
2,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
3,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
4,,,,확인,"alertConfirm: '확인',"
5,,,,취소,"alertCancel: '취소',"
6,,,,동의가 완료되었습니다.,showDefaultToast('동의가 완료되었습니다.');
7,,,,거절이 완료되었습니다.,showDefaultToast('거절이 완료되었습니다.');
8,,,,동의에 실패하였습니다.,showDefaultToast('동의에 실패하였습니다.');
9,,,,거절에 실패하였습니다.,showDefaultToast('거절에 실패하였습니다.');
10,,,,기본급,return '기본급';
11,,,,식대,return '식대';
12,,,,차량유지비,return '차량유지비';
13,,,,연장근로수당,return '연장근로수당';
14,,,,야간근로수당,return '야간근로수당';
15,,,,휴일근로수당,return '휴일근로수당';
16,,,,직급수당,return '직급수당';
17,,,,보육수당,return '보육수당';
18,,,,근속수당,return '근속수당';
19,,,,가족수당,return '가족수당';
20,,,,당직수당,return '당직수당';
21,,,,상여금,return '상여금';
22,,,,기타,return '기타';
23,,,,소득세,return '소득세';
24,,,,지방소득세,return '지방소득세';
25,,,,국민연금,return '국민연금';
26,,,,건강보험,return '건강보험';
27,,,,고용보험,return '고용보험';
28,,,,산재보험,return '산재보험';
29,,,,장기요양보험,return '장기요양보험';
30,,,,주민세,return '주민세';
31,,,,상조회비,return '상조회비';
32,,,,연말정산,return '연말정산';
33,,,,기타,return '기타';
34,,,,급여내역서,"title: '급여내역서',"
35,,,,근로자 정보,"'근로자 정보',"
36,,,,이름,"'이름',"
37,,,,생년월일,"'생년월일',"
38,,,,입사일자,"'입사일자',"
39,,,,소속,"'소속',"
40,,,,직위,"'직위',"
41,,,,지급항목,"'지급항목',"
42,,,,지급합계,"'지급합계',"
43,,,,공제항목,"'공제항목',"
44,,,,공제합계,"'공제합계',"
45,,,,실수령액,"'실수령액',"
