,Key,Description,en,ko,origin
0,,,,포트폴리오,"{'category': 1, 'text': '포트폴리오'},"
1,,,,자격증,"{'category': 2, 'text': '자격증'},"
2,,,,증명서,"{'category': 3, 'text': '증명서'},"
3,,,,이력서,"{'category': 4, 'text': '이력서'},"
4,,,,경력기술서,"{'category': 5, 'text': '경력기술서'},"
5,,,,기타,"{'category': 6, 'text': '기타'},"
6,,,,직접입력,"{'category': 7, 'text': '직접입력'},"
7,,,,사진 보관함,"onTap: () => getAttachedPhoto('gallery'), text: '사진 보관함'),"
8,,,,사진 찍기,"onTap: () => getAttachedPhoto('camera'), text: '사진 찍기'),"
9,,,,파일 선택,"BottomSheetButton(onTap: () => getAttachedFile(), text: '파일 선택')"
10,,,,파일을 첨부해주세요.,"'파일을 첨부해주세요.',"
11,,,,"사진, 자격증, 포트폴리오 등으로 내 자신을 PR해요!","'사진, 자격증, 포트폴리오 등으로 내 자신을 PR해요!',"
12,,,,첨부파일 추가하기,"'첨부파일 추가하기',"
13,,,,타입,"hintText: '타입',"
14,,,,제목을 입력해주세요,"hintText: '제목을 입력해주세요',"
15,,,,건너뛰기,"text: '건너뛰기',"
16,,,,다음,"text: '다음',"
