,Key,Description,en,ko,origin
0,,,,제재로 인해 로그인이 제한된 회원입니다.,showDefaultToast('제재로 인해 로그인이 제한된 회원입니다.');
1,,,,기업 회원 가입 절차가 진행되고 있습니다 n잠시 후 완료 됩니다.,"showConfirmAlert(context, '기업 회원 가입 절차가 진행되고 있습니다\n잠시 후 완료 됩니다.');"
2,,,,알림,"showErrorAlert(context, '알림', msg);"
3,,,,알림,"showErrorAlert(context, '알림', msg);"
4,,,,가입되지 않은 회원입니다. n회원가입을 먼저 진행해주세요.,showDefaultToast('가입되지 않은 회원입니다.\n회원가입을 먼저 진행해주세요.');
5,,,,인증 자격이 없습니다.,return '인증 자격이 없습니다.';
6,,,,권한이 없습니다.,return '권한이 없습니다.';
7,,,,조회된 객체가 없습니다.,return '조회된 객체가 없습니다.';
8,,,,소셜 회원가입이 완료되지 않았습니다.,return '소셜 회원가입이 완료되지 않았습니다.';
9,,,,파라미터 검증 에러입니다.,return '파라미터 검증 에러입니다.';
10,,,,승인되지 않은 구인 회원입니다.,return '승인되지 않은 구인 회원입니다.';
11,,,,로그인에 실패하였습니다. n code:500,return '로그인에 실패하였습니다. \n code:500';
12,,,,로그인에 실패하였습니다.,return '로그인에 실패하였습니다.';
13,,,,로그인,"const TitleBottomSheet(title: '로그인'),"
14,,,,다음,"text: '다음'),"
15,,,,계정을 잊으셨나요?,"text: '계정을 잊으셨나요?',"
16,,,,로그인,"text: '로그인'),"
17,,,,비밀번호를 잊으셨나요?,"text: '비밀번호를 잊으셨나요?',"
18,,,,다른 방법으로 로그인,"'다른 방법으로 로그인',"
