,Key,Description,en,ko,origin
0,,,,자신의 학력을 소개해주세요!,"'자신의 학력을 소개해주세요!',"
1,,,,학력을 요구하는 업무 지원에 더욱 유리해요.,"'학력을 요구하는 업무 지원에 더욱 유리해요.',"
2,,,,삭제,"alertTitle: '삭제',"
3,,,,학력을 삭제하시겠습니까?,"alertContent: '학력을 삭제하시겠습니까?',"
4,,,,확인,"alertConfirm: '확인',"
5,,,,취소,"alertCancel: '취소',"
6,,,,삭제,"alertTitle: '삭제',"
7,,,,학력을 삭제하시겠습니까?,"alertContent: '학력을 삭제하시겠습니까?',"
8,,,,확인,"alertConfirm: '확인',"
9,,,,취소,"alertCancel: '취소',"
10,,,,학력 추가하기,"'학력 추가하기',"
11,,,,건너뛰기,"text: '건너뛰기',"
12,,,,다음,"text: '다음',"
13,,,,학력을 요구하는 업무 지원에 훨씬 유리해요!,"//       const Text('학력을 요구하는 업무 지원에 훨씬 유리해요!'),"
14,,,,학력 추가하기,"//         child: const Text('학력 추가하기'),"
