,Key,Description,en,ko,origin
0,,,,문의가 접수되었습니다. n상담사가 1~2일 후 연락드릴 예정입니다.,"alertContent: '문의가 접수되었습니다.\n상담사가 1~2일 후 연락드릴 예정입니다.',"
1,,,,확인,"alertConfirm: '확인',"
2,,,,알림,"alertTitle: '알림',"
3,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
4,,,,확인,"alertConfirm: '확인',"
5,,,,알림,"alertTitle: '알림',"
6,,,,문의가 접수되었습니다. n상담사가 1~2일 후 연락드릴 예정입니다.,"alertContent: '문의가 접수되었습니다.\n상담사가 1~2일 후 연락드릴 예정입니다.',"
7,,,,확인,"alertConfirm: '확인',"
8,,,,알림,"alertTitle: '알림',"
9,,,,운영자에 의하여 작성이 제한된 회원입니다.,"alertContent: '운영자에 의하여 작성이 제한된 회원입니다.',"
10,,,,확인,"alertConfirm: '확인',"
11,,,,알림,"alertTitle: '알림',"
12,,,,등록에 실패하였습니다.,showDefaultToast('등록에 실패하였습니다.');
13,,,,알림,"alertTitle: '알림',"
14,,,,금칙어,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 테마관 등록이 불가능합니다."","
15,,,,가 포함되어 테마관 등록이 불가능합니다.,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 테마관 등록이 불가능합니다."","
16,,,,확인,"alertConfirm: '확인',"
17,,,,사진 보관함,"text: '사진 보관함'),"
18,,,,사진 찍기,"text: '사진 찍기'),"
19,,,,파일 선택,"text: '파일 선택'),"
20,,,,브랜드 테마관,"title: '브랜드 테마관',"
21,,,,브랜드 테마관 제공 (테마내 노출),"'브랜드 테마관 제공 (테마내 노출)',"
22,,,,목록형 배너 노출,"'목록형 배너 노출',"
23,,,,서비스 이용료,"'서비스 이용료',"
24,,,,${premiumData!.expireDay}일,"'${premiumData!.expireDay}일',"
25,,,,3일,"'3일',"
26,,,,브랜드 테마관 문의,"text: '브랜드 테마관 문의',"
27,,,,고객센터로 문의 주시면 상담원이 안내를 도와드리겠습니다.,"'고객센터로 문의 주시면 상담원이 안내를 도와드리겠습니다.',"
28,,,,문의제목,"decoration: commonInput(hintText: '문의제목'),"
29,,,,문의 내용을 적어주세요,"areaInput(hintText: '문의 내용을 적어주세요'),"
30,,,,최대 100MB까지 첨부 가능합니다.,"'최대 100MB까지 첨부 가능합니다.',"
31,,,,문의와 무관한 내용인 경우 통보없이 삭제될 수 있습니다.,"'문의와 무관한 내용인 경우 통보없이 삭제될 수 있습니다.',"
32,,,,개인정보 수집 및 이용동의 안내,"text: '개인정보 수집 및 이용동의 안내',"
33,,,,(필수),"requireText: '(필수)',"
34,,,,문의 보내기,"text: ""문의 보내기"","
