,Key,Description,en,ko,origin
0,,,,채용 담당자님의 정보를 입력해주세요!,"'채용 담당자님의 정보를 입력해주세요!',"
1,,,,담당자명,"'담당자명',"
2,,,,담당자명을 입력해주세요.,"hintText: '담당자명을 입력해주세요.',"
3,,,,담당자명 비공개,"title: const Text('담당자명 비공개'),"
4,,,,담당자 연락처,"'담당자 연락처',"
5,,,,담당자 연락처를 입력해주세요.,"hintText: '담당자 연락처를 입력해주세요.',"
6,,,,담당자 연락처 비공개,"title: const Text('담당자 연락처 비공개'),"
7,,,,담당자 이메일,"'담당자 이메일',"
8,,,,담당자 이메일을 입력해주세요.,"hintText: '담당자 이메일을 입력해주세요.',"
9,,,,담당자 이메일 비공개,"title: const Text('담당자 이메일 비공개'),"
10,,,,건너뛰기,"text: '건너뛰기',"
11,,,,완성하기,"text: '완성하기',"
