,Key,Description,en,ko,origin
0,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
1,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
2,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
3,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
4,,,,확인,"alertConfirm: '확인',"
5,,,,취소,"alertCancel: '취소',"
6,,,,연차,return '연차';
7,,,,경조휴가,return '경조휴가';
8,,,,포상휴가,return '포상휴가';
9,,,,생리휴가,return '생리휴가';
10,,,,기타휴가,return '기타휴가';
11,,,,연차,return '연차';
12,,,,동의가 완료되었습니다.,showDefaultToast('동의가 완료되었습니다.');
13,,,,거절이 완료되었습니다.,showDefaultToast('거절이 완료되었습니다.');
14,,,,동의에 실패하였습니다.,showDefaultToast('동의에 실패하였습니다.');
15,,,,거절에 실패하였습니다.,showDefaultToast('거절에 실패하였습니다.');
16,,,,pdfKey의 currentContext가 null입니다.,"print(""pdfKey의 currentContext가 null입니다."");"
17,,,,RenderRepaintBoundary가 null입니다.,"print(""RenderRepaintBoundary가 null입니다."");"
18,,,,휴가 신청서,"await _downloadFile(tempFilePath, '휴가 신청서', type);"
19,,,,이미지 다운로드에 실패하였습니다.,showDefaultToast('이미지 다운로드에 실패하였습니다.');
20,,,,${detailData!.resignationDto.reName}휴가 신청서.png,"""name"": '${detailData!.resignationDto.reName}휴가 신청서.png'"
21,,,,휴가 신청서가 저장되었습니다.,showDefaultToast('휴가 신청서가 저장되었습니다.');
22,,,,휴가 신청서 저장에 실패했습니다.,showDefaultToast('휴가 신청서 저장에 실패했습니다.');
23,,,,휴가 신청서,"title: '휴가 신청서',"
24,,,,신청자 정보,"'신청자 정보',"
25,,,,이름,"'이름',"
26,,,,연락처,"'연락처',"
27,,,,소속,"'소속',"
28,,,,직위,"'직위',"
29,,,,내용,"'내용',"
30,,,,휴가종류,"'휴가종류',"
31,,,,휴가기간,"'휴가기간',"
32,,,,휴가사유,"'휴가사유',"
33,,,,위의 사유로 휴가 신청서를 n 제출하오니 허락하여 주시기 바랍니다.,"'위의 사유로 휴가 신청서를\n 제출하오니 허락하여 주시기 바랍니다.',"
34,,,,신청자: ${detailData.vacationDto.vaWorkerName},"'신청자: ${detailData.vacationDto.vaWorkerName}',"
35,,,,(필수),"'(필수)',"
36,,,,내용에 이상이 없음을 확인하였습니다.,"' 내용에 이상이 없음을 확인하였습니다.',"
37,,,,거절하기,"text: '거절하기',"
38,,,,동의하기,"text: '동의하기',"
39,,,,휴가 신청서 다운로드,"text: '휴가 신청서 다운로드',"
40,,,,이메일로 전송,"text: '이메일로 전송',"
