,Key,Description,en,ko,origin
0,,,,제안이 완료 되었어요!,showDefaultToast('제안이 완료 되었어요!');
1,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
2,,,,이미 제안하거나 지원받은 공고입니다.,showDefaultToast('이미 제안하거나 지원받은 공고입니다.');
3,,,,일자리 제안을 받지 않는 회원입니다.,showDefaultToast('일자리 제안을 받지 않는 회원입니다.');
4,,,,희망 직종의 일자리만 제안을 받은 회원입니다.,showDefaultToast('희망 직종의 일자리만 제안을 받은 회원입니다.');
5,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
6,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
7,,,,이미 등록된 관심 기업입니다.,showDefaultToast('이미 등록된 관심 기업입니다.');
8,,,,관심인재에서 삭제했어요!,showDefaultToast('관심인재에서 삭제했어요!');
9,,,,관심인재로 저장했어요!,showDefaultToast('관심인재로 저장했어요!');
10,,,,최근 본 인재,"title: '최근 본 인재',"
11,,,,"(${ConvertService.calculateAge(workerItem.userInfo.birth)}세, ${returnConditionGenderNameFromParam(workerItem.userInfo.gender)})","'(${ConvertService.calculateAge(workerItem.userInfo.birth)}세, ${returnConditionGenderNameFromParam(workerItem.userInfo.gender)})',"
12,,,,일자리 제안하기,"text: '일자리 제안하기',"
13,,,,최근 본 인재가 없습니다.,child: CommonEmpty(text: '최근 본 인재가 없습니다.'))
