,Key,Description,en,ko,origin
0,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
1,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
2,,,,작성하신 문의가 성공적으로 등록되었습니다.,"alertContent: '작성하신 문의가 성공적으로 등록되었습니다.',"
3,,,,확인,"alertConfirm: '확인',"
4,,,,안내,"alertTitle: '안내',"
5,,,,운영자에 의하여 작성이 제한된 회원입니다.,"alertContent: '운영자에 의하여 작성이 제한된 회원입니다.',"
6,,,,확인,"alertConfirm: '확인',"
7,,,,알림,"alertTitle: '알림',"
8,,,,등록에 실패하였습니다.,showDefaultToast('등록에 실패하였습니다.');
9,,,,알림,"alertTitle: '알림',"
10,,,,금칙어,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 문의 등록이 불가능합니다."","
11,,,,가 포함되어 문의 등록이 불가능합니다.,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 문의 등록이 불가능합니다."","
12,,,,확인,"alertConfirm: '확인',"
13,,,,작성하신 문의가 성공적으로 등록되었습니다.,"alertContent: '작성하신 문의가 성공적으로 등록되었습니다.',"
14,,,,확인,"alertConfirm: '확인',"
15,,,,알림,"alertTitle: '알림',"
16,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
17,,,,확인,"alertConfirm: '확인',"
18,,,,알림,"alertTitle: '알림',"
19,,,,사진 보관함,"text: '사진 보관함'),"
20,,,,사진 찍기,"text: '사진 찍기'),"
21,,,,파일 선택,"text: '파일 선택'),"
22,,,,삭제,"text: '삭제'),"
23,,,,작성 취소,"alertTitle: '작성 취소',"
24,,,,페이지를 이동하시겠어요? n이동 시 작성된 내용은 저장되지 않아요,"alertContent: '페이지를 이동하시겠어요?\n이동 시 작성된 내용은 저장되지 않아요',"
25,,,,확인,"alertConfirm: '확인',"
26,,,,취소,"alertCancel: '취소',"
27,,,,고객센터,"title: '고객센터',"
28,,,,문의하기,"tabTitleArr: const ['문의하기', '내 문의 내역'],"
29,,,,내 문의 내역,"tabTitleArr: const ['문의하기', '내 문의 내역'],"
30,,,,문의하기 및 고객센터 이용안내,"""문의하기 및 고객센터 이용안내"","
31,,,,서비스 이용 중 불편 사항 또는 궁금한 사항을 물어 보세요.,"'서비스 이용 중 불편 사항 또는 궁금한 사항을 물어 보세요.',"
32,,,,평일 09:00~17:00까지 문의 하신 내용은 당일 답변 드립니다.,"'평일 09:00~17:00까지 문의 하신 내용은 당일 답변 드립니다.',"
33,,,,17시 이후 문의하신 내용은 다음날 답변 드리고 n법정 공휴일과 같은 휴무일에 문의하신 내용은 휴무일 종료 이후 첫 근무일에 답변 드립니다.,"'17시 이후 문의하신 내용은 다음날 답변 드리고\n법정 공휴일과 같은 휴무일에 문의하신 내용은 휴무일 종료 이후 첫 근무일에 답변 드립니다.',"
34,,,,문의사항 증가시 답변 기간이 최대 2~3일(근무일 기준) 소요될 수 있습니다.,"'문의사항 증가시 답변 기간이 최대 2~3일(근무일 기준) 소요될 수 있습니다. ',"
35,,,,문의유형,"""문의유형"","
36,,,,선택해주세요.,"hintText: '선택해주세요.',"
37,,,,문의내용,"""문의내용"","
38,,,,제목을 입력해주세요.,"hintText: '제목을 입력해주세요.',"
39,,,,내용을 작성해주세요.,"hintText: '내용을 작성해주세요.',"
40,,,,첨부파일,"""첨부파일"","
41,,,,파일 선택하기,"'파일 선택하기',"
42,,,,최대 100MB까지 첨부 가능합니다.,"'최대 100MB까지 첨부 가능합니다.',"
43,,,,상담과 무관한 내용이거나 음란 및 불법적인 내용은 통보 없이 n삭제될 수 있습니다.,"'상담과 무관한 내용이거나 음란 및 불법적인 내용은 통보 없이\n삭제될 수 있습니다.',"
44,,,,(필수),"'(필수)',"
45,,,,개인정보 수집 및 이용안내 동의,"'개인정보 수집 및 이용안내 동의',"
46,,,,문의 보내기,"text: ""문의 보내기"","
47,,,,문의 내역,"""문의 내역"","
48,,,,총 $total건,"""총 $total건"","
49,,,,문의 내역이 없습니다.,text: '문의 내역이 없습니다.')
