,Key,Description,en,ko,origin
0,,,,식대,"{'type': '식대', 'key': 1},"
1,,,,차량유지비,"{'type': '차량유지비', 'key': 2},"
2,,,,연장근로수당,"{'type': '연장근로수당', 'key': 3},"
3,,,,야간근로수당,"{'type': '야간근로수당', 'key': 4},"
4,,,,휴일근로수당,"{'type': '휴일근로수당', 'key': 5},"
5,,,,직급수당,"{'type': '직급수당', 'key': 6},"
6,,,,보육수당,"{'type': '보육수당', 'key': 7},"
7,,,,근속수당,"{'type': '근속수당', 'key': 8},"
8,,,,가족수당,"{'type': '가족수당', 'key': 9},"
9,,,,당직수당,"{'type': '당직수당', 'key': 10},"
10,,,,상여금,"{'type': '상여금', 'key': 11},"
11,,,,기타,"{'type': '기타', 'key': 12},"
12,,,,지방소득세,"{'type': '지방소득세', 'key': 1},"
13,,,,국민연금,"{'type': '국민연금', 'key': 2},"
14,,,,건강보험,"{'type': '건강보험', 'key': 3},"
15,,,,고용보험,"{'type': '고용보험', 'key': 4},"
16,,,,산재보험,"{'type': '산재보험', 'key': 5},"
17,,,,장기요양보험,"{'type': '장기요양보험', 'key': 6},"
18,,,,주민세,"{'type': '주민세', 'key': 7},"
19,,,,상조회비,"{'type': '상조회비', 'key': 8},"
20,,,,연말정산,"{'type': '연말정산', 'key': 9},"
21,,,,기타,"{'type': '기타', 'key': 10},"
22,,,,기본급,return '기본급';
23,,,,식대,return '식대';
24,,,,차량유지비,return '차량유지비';
25,,,,연장근로수당,return '연장근로수당';
26,,,,야간근로수당,return '야간근로수당';
27,,,,휴일근로수당,return '휴일근로수당';
28,,,,직급수당,return '직급수당';
29,,,,보육수당,return '보육수당';
30,,,,근속수당,return '근속수당';
31,,,,가족수당,return '가족수당';
32,,,,당직수당,return '당직수당';
33,,,,상여금,return '상여금';
34,,,,기타,return '기타';
35,,,,소득세,return '소득세';
36,,,,지방소득세,return '지방소득세';
37,,,,국민연금,return '국민연금';
38,,,,건강보험,return '건강보험';
39,,,,고용보험,return '고용보험';
40,,,,산재보험,return '산재보험';
41,,,,장기요양보험,return '장기요양보험';
42,,,,주민세,return '주민세';
43,,,,상조회비,return '상조회비';
44,,,,연말정산,return '연말정산';
45,,,,기타,return '기타';
46,,,,서류 저장에 실패했습니다.,showDefaultToast('서류 저장에 실패했습니다.');
47,,,,유저 정보가 비정상입니다.,showDefaultToast('유저 정보가 비정상입니다.');
48,,,,서류 등록에 성공했습니다.,showDefaultToast('서류 등록에 성공했습니다.');
49,,,,서류 등록에 실패했습니다.,showDefaultToast('서류 등록에 실패했습니다.');
50,,,,유저 정보가 비정상입니다.,showDefaultToast('유저 정보가 비정상입니다.');
51,,,,서명 이미지 업로드에 실패했습니다.,showDefaultToast('서명 이미지 업로드에 실패했습니다.');
52,,,,급여 내역서 작성 완료,"const TitleBottomSheet(title: '급여 내역서 작성 완료'),"
53,,,,서명 시 이름을 정자로 써주세요.,"'서명 시 이름을 정자로 써주세요.',"
54,,,,서명 지우기,"'서명 지우기',"
55,,,,서명 후 제출하기,"text: '서명 후 제출하기',"
56,,,,지급 항목명 선택,"title: '지급 항목명 선택',"
57,,,,공제 항목명 선택,"title: '공제 항목명 선택',"
58,,,,이름을 입력해주세요.,msg = '이름을 입력해주세요.';
59,,,,생년월일을 확인해주세요.,msg = '생년월일을 확인해주세요.';
60,,,,입사날짜를 확인해주세요.,msg = '입사날짜를 확인해주세요.';
61,,,,급여내역서 작성,"title: '급여내역서 작성',"
62,,,,근로자 정보,"text: '근로자 정보',"
63,,,,지급/공제,"text: '지급/공제',"
64,,,,내역확인,"text: '내역확인',"
65,,,,근로자정보,"'근로자정보',"
66,,,,이름을 입력해주세요.,"hintText: '이름을 입력해주세요.',"
67,,,,생년월일 8자리를 확인해주세요.,"hintText: '생년월일 8자리를 확인해주세요.',"
68,,,,입사일자 8자리를 확인해주세요.,"hintText: '입사일자 8자리를 확인해주세요.',"
69,,,,(선택) 소속 부서를 입력해주세요.,"hintText: '(선택) 소속 부서를 입력해주세요.',"
70,,,,(선택) 직위를 입력해주세요.,"hintText: '(선택) 직위를 입력해주세요.',"
71,,,,지급항목,"'지급항목',"
72,,,,기본급,"'기본급',"
73,,,,원,"suffixText: '원',"
74,,,,항목명 선택,"hintText: '항목명 선택',"
75,,,,원,"suffixText: '원',"
76,,,,항목 추가하기,"'항목 추가하기',"
77,,,,공제항목,"'공제항목',"
78,,,,소득세,"'소득세',"
79,,,,원,"suffixText: '원',"
80,,,,항목명 선택,"hintText: '항목명 선택',"
81,,,,원,"suffixText: '원',"
82,,,,항목 추가하기,"'항목 추가하기',"
83,,,,지급항목,"const SalaryTitle(text: '지급항목'),"
84,,,,지급합계,"text: '지급합계',"
85,,,,공제항목,"const SalaryTitle(text: '공제항목'),"
86,,,,공제합계,"text: '공제합계',"
87,,,,실수령액,"'실수령액',"
88,,,,yyyy년 MM월 dd일,DateFormat('yyyy년 MM월 dd일')
89,,,,(필수),"'(필수)',"
90,,,,내용에 이상이 없음을 확인하였습니다.,"'내용에 이상이 없음을 확인하였습니다.',"
91,,,,급여내역서 작성 완료,"text: step == 3 ? '급여내역서 작성 완료' : '다음',"
92,,,,다음,"text: step == 3 ? '급여내역서 작성 완료' : '다음',"
