,Key,Description,en,ko,origin
0,,,,맡은 업무에 항상 최선을 다하는 성실한 인재입니다.,"'맡은 업무에 항상 최선을 다하는 성실한 인재입니다.',"
1,,,,밝은 미소와 긍정적 마인드로 최선을 다하겠습니다.,"'밝은 미소와 긍정적 마인드로 최선을 다하겠습니다.',"
2,,,,다양한 경력과 실력을 겸비한 준비된 인재입니다.,"'다양한 경력과 실력을 겸비한 준비된 인재입니다.',"
3,,,,열정과 패기로 꾸준히 발전하는 인재가 되겠습니다.,"'열정과 패기로 꾸준히 발전하는 인재가 되겠습니다.',"
4,,,,직접 입력,"'직접 입력',"
5,,,,초등학교,"static List<String> educationTypeList = ['초등학교', '중학교', '고등학교', '대학(2,3년제)', '대학(4년제)', '대학원'];"
6,,,,중학교,"static List<String> educationTypeList = ['초등학교', '중학교', '고등학교', '대학(2,3년제)', '대학(4년제)', '대학원'];"
7,,,,고등학교,"static List<String> educationTypeList = ['초등학교', '중학교', '고등학교', '대학(2,3년제)', '대학(4년제)', '대학원'];"
8,,,,"대학(2,3년제)","static List<String> educationTypeList = ['초등학교', '중학교', '고등학교', '대학(2,3년제)', '대학(4년제)', '대학원'];"
9,,,,대학(4년제),"static List<String> educationTypeList = ['초등학교', '중학교', '고등학교', '대학(2,3년제)', '대학(4년제)', '대학원'];"
10,,,,대학원,"static List<String> educationTypeList = ['초등학교', '중학교', '고등학교', '대학(2,3년제)', '대학(4년제)', '대학원'];"
11,,,,재학,"static List<String> educationStatusList = ['재학', '졸업', '중퇴', '수료', '휴학'];"
12,,,,졸업,"static List<String> educationStatusList = ['재학', '졸업', '중퇴', '수료', '휴학'];"
13,,,,중퇴,"static List<String> educationStatusList = ['재학', '졸업', '중퇴', '수료', '휴학'];"
14,,,,수료,"static List<String> educationStatusList = ['재학', '졸업', '중퇴', '수료', '휴학'];"
15,,,,휴학,"static List<String> educationStatusList = ['재학', '졸업', '중퇴', '수료', '휴학'];"
