,Key,Description,en,ko,origin
0,,,,전체 업무 제안 받음,return offerScope == 1 ? '전체 업무 제안 받음' : '희망 업무만 받음';
1,,,,희망 업무만 받음,return offerScope == 1 ? '전체 업무 제안 받음' : '희망 업무만 받음';
2,,,,제안 받지 않음,return '제안 받지 않음';
3,,,,프로필 삭제,"alertTitle: '프로필 삭제',"
4,,,,선택한 프로필을 삭제하시겠어요? n삭제한 프로필은 되돌릴 수 없어요.,"alertContent: '선택한 프로필을 삭제하시겠어요?\n삭제한 프로필은 되돌릴 수 없어요.',"
5,,,,삭제,"alertConfirm: '삭제',"
6,,,,닫기,"alertCancel: '닫기',"
7,,,,프로필 수정,"text: '프로필 수정'),"
8,,,,삭제,"text: '삭제',"
9,,,,프로필 관리,"title: '프로필 관리',"
10,,,,대표,"'대표',"
11,,,,노출,"'노출',"
12,,,,비노출,"'비노출',"
13,,,,희망지역,"'희망지역',"
14,,,,희망업무,"'희망업무',"
15,,,,포지션 제안,"'포지션 제안',"
16,,,,최근 수정일,"'최근 수정일',"
17,,,,등록된 프로필이 없어요.,"child: const CommonEmpty(text: '등록된 프로필이 없어요.'),"
18,,,,신규 프로필 추가,"text: '신규 프로필 추가',"
19,,,,신규 프로필 추가,"'신규 프로필 추가',"
20,,,,프로필은 최대 3개 등록할 수 있어요!,"'프로필은 최대 3개 등록할 수 있어요!',"
