,Key,Description,en,ko,origin
0,,,,프로필 오류,"showError('프로필 오류', '프로필 정보를 가져오는데 실패하였습니다.');"
1,,,,프로필 정보를 가져오는데 실패하였습니다.,"showError('프로필 오류', '프로필 정보를 가져오는데 실패하였습니다.');"
2,,,,확인,"alertConfirm: '확인',"
3,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
4,,,,이미 등록된 관심 기업입니다.,showDefaultToast('이미 등록된 관심 기업입니다.');
5,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
6,,,,관심인재에서 삭제했어요!,showDefaultToast('관심인재에서 삭제했어요!');
7,,,,관심인재로 저장했어요!,showDefaultToast('관심인재로 저장했어요!');
8,,,,제안이 완료 되었어요!,showDefaultToast('제안이 완료 되었어요!');
9,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
10,,,,이미 제안하거나 지원받은 공고입니다.,showDefaultToast('이미 제안하거나 지원받은 공고입니다.');
11,,,,일자리 제안을 받지 않는 회원입니다.,showDefaultToast('일자리 제안을 받지 않는 회원입니다.');
12,,,,희망 직종의 일자리만 제안을 받은 회원입니다.,showDefaultToast('희망 직종의 일자리만 제안을 받은 회원입니다.');
13,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
14,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
15,,,,개인평가,"title: '개인평가',"
16,,,,신고 사유를 선택해주세요!,showDefaultToast('신고 사유를 선택해주세요!');
17,,,,신고 사유를 입력해주세요!,showDefaultToast('신고 사유를 입력해주세요!');
18,,,,신고가 완료되었어요!,showDefaultToast('신고가 완료되었어요!');
19,,,,본인 프로필은 신고할 수 없습니다.,showDefaultToast('본인 프로필은 신고할 수 없습니다.');
20,,,,동일한 프로필은 하루에 한 번만 신고 할 수 있습니다.,showDefaultToast('동일한 프로필은 하루에 한 번만 신고 할 수 있습니다.');
21,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
22,,,,프로필 신고,"title: '프로필 신고',"
23,,,,프로필에 부적합한 내용 있는 경우 신고해주시면 관리자의 확인을 거쳐 신속하게 조치를 쥐하도 하겠습니다.,"text: '프로필에 부적합한 내용 있는 경우 신고해주시면 관리자의 확인을 거쳐 신속하게 조치를 쥐하도 하겠습니다.',"
24,,,,차단인재로 저장했어요!,showDefaultToast('차단인재로 저장했어요!');
25,,,,차단에 실패하였습니다.,"alertContent: '차단에 실패하였습니다.',"
26,,,,확인,"alertConfirm: '확인',"
27,,,,알림,"alertTitle: '알림',"
28,,,,지원 거절에 실패하였습니다.,"alertContent: '지원 거절에 실패하였습니다.',"
29,,,,확인,"alertConfirm: '확인',"
30,,,,알림,"alertTitle: '알림',"
31,,,,매칭되었습니다!!,"'매칭되었습니다!!',"
32,,,,매칭목록으로 이동하여 n지금 대화 시작하세요,"'매칭목록으로 이동하여\n지금 대화 시작하세요',"
33,,,,닫기,"text: '닫기',"
34,,,,매칭목록이동,"text: '매칭목록이동',"
35,,,,지원 수락에 실패하였습니다.,"alertContent: '지원 수락에 실패하였습니다.',"
36,,,,확인,"alertConfirm: '확인',"
37,,,,알림,"alertTitle: '알림',"
38,,,,제안을 취소하였습니다.,showDefaultToast('제안을 취소하였습니다.');
39,,,,제안 취소에 실패하였습니다.,"alertContent: '제안 취소에 실패하였습니다.',"
40,,,,확인,"alertConfirm: '확인',"
41,,,,알림,"alertTitle: '알림',"
42,,,,${profileData.userInfo.name}이력서.pdf,"name: '${profileData.userInfo.name}이력서.pdf', pdf: pdf);"
43,,,,${profileData.userInfo.name}이력서.pdf,"""name"": '${profileData.userInfo.name}이력서.pdf'"
44,,,,${profileData.userInfo.name}이력서,"saveFile(fileData, '${profileData.userInfo.name}이력서');"
45,,,,이력서가 저장되었습니다.,showDefaultToast('이력서가 저장되었습니다.');
46,,,,이력서가 저장에 실패했습니다.,showDefaultToast('이력서가 저장에 실패했습니다.');
47,,,,인재정보,": '인재정보',"
