,Key,Description,en,ko,origin
0,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
1,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
2,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
3,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
4,,,,확인,"alertConfirm: '확인',"
5,,,,취소,"alertCancel: '취소',"
6,,,,동의가 완료되었습니다.,showDefaultToast('동의가 완료되었습니다.');
7,,,,거절이 완료되었습니다.,showDefaultToast('거절이 완료되었습니다.');
8,,,,동의에 실패하였습니다.,showDefaultToast('동의에 실패하였습니다.');
9,,,,거절에 실패하였습니다.,showDefaultToast('거절에 실패하였습니다.');
10,,,,pdfKey의 currentContext가 null입니다.,"print(""pdfKey의 currentContext가 null입니다."");"
11,,,,RenderRepaintBoundary가 null입니다.,"print(""RenderRepaintBoundary가 null입니다."");"
12,,,,사직서,"await _downloadFile(tempFilePath, '사직서',type);"
13,,,,이미지 다운로드에 실패하였습니다.,showDefaultToast('이미지 다운로드에 실패하였습니다.');
14,,,,${detailData!.resignationDto.reName}사직서.png,"""name"": '${detailData!.resignationDto.reName}사직서.png'"
15,,,,사직서가 저장되었습니다.,showDefaultToast('사직서가 저장되었습니다.');
16,,,,사직서 저장에 실패했습니다.,showDefaultToast('사직서 저장에 실패했습니다.');
17,,,,사직서,"title: '사직서',"
18,,,,신청자 정보,"'신청자 정보',"
19,,,,이름,"'이름',"
20,,,,입사일자,"'입사일자',"
21,,,,직위,"'직위',"
22,,,,내용,"'내용',"
23,,,,퇴사일자,"'퇴사일자',"
24,,,,퇴사사유,"'퇴사사유',"
25,,,,위의 사유로 사직서를 n 제출하오니 허락하여 주시기 바랍니다.,"'위의 사유로 사직서를\n 제출하오니 허락하여 주시기 바랍니다.',"
26,,,,신청자: ${detailData.resignationDto.reName},"'신청자: ${detailData.resignationDto.reName}',"
27,,,,(필수),"'(필수)',"
28,,,,내용에 이상이 없음을 확인하였습니다.,"' 내용에 이상이 없음을 확인하였습니다.',"
29,,,,동의하기,"text: '동의하기',"
30,,,,사직서 다운로드,"text: '사직서 다운로드',"
31,,,,이메일로 전송,"text: '이메일로 전송',"
