,Key,Description,en,ko,origin
0,,,,초단알바를 이용하시는데 n불편함이 있으셨나요?,"'초단알바를 이용하시는데\n불편함이 있으셨나요?',"
1,,,,"프로필에 포지션 제안 OFF를 하면 , 제안이 오지 않아요","'프로필에 포지션 제안 OFF를 하면 , 제안이 오지 않아요',"
2,,,,"일자리를 구했거나, 구직을 쉬고 있다면 프로필을 잠시 닫아둘 수 있어요","'일자리를 구했거나, 구직을 쉬고 있다면 프로필을 잠시 닫아둘 수 있어요',"
3,,,,"탈퇴하면, 소중한 정보가 사라지게 돼요.","'탈퇴하면, 소중한 정보가 사라지게 돼요.',"
4,,,,"지금까지 작성한 근로계약서 및 사직서 등 서류가 삭제되고, 알바님은 등록했던 이력서, 사장님은 등록했던 채용공고도, 힘들게 모은 포인트도, 긍정적인 별점 평가도 모두 사라져요.","'지금까지 작성한 근로계약서 및 사직서 등 서류가 삭제되고, 알바님은 등록했던 이력서, 사장님은 등록했던 채용공고도, 힘들게 모은 포인트도, 긍정적인 별점 평가도 모두 사라져요.',"
5,,,,누군가 불편하게 하나요? 차단과 신고를 활용하세요.,"'누군가 불편하게 하나요? 차단과 신고를 활용하세요.',"
6,,,,"차단을 하면 상습적으로 제안을 하는 사장님, 매번 습관적으로 지원하는 알바님을 차단할 수 있어요. n마음 상하게 하는 게시물에 대해서는 신고할 수 있어요.","'차단을 하면 상습적으로 제안을 하는 사장님, 매번 습관적으로 지원하는 알바님을 차단할 수 있어요.\n마음 상하게 하는 게시물에 대해서는 신고할 수 있어요.',"
7,,,,계정을 삭제 하면 재가입이 어려워져요.,"'계정을 삭제 하면  재가입이 어려워져요.',"
8,,,,기존에 사용했던 이메일 또는 소셜 아이디로는 일정기간 재가입에 제한이 있을 수 있어요.,"'기존에 사용했던 이메일 또는 소셜 아이디로는 일정기간 재가입에 제한이 있을 수 있어요.',"
9,,,,혹시 이사 했거나 전화번호가 바뀌었나요?,"'혹시 이사 했거나 전화번호가 바뀌었나요?',"
10,,,,회원정보 수정 또는 기업정보 수정에서 주소와 전화번호를 변경할 수 있어요. n굳이 탈퇴하시고 재가입 할 필요 없어요.,"'회원정보 수정 또는 기업정보 수정에서 주소와 전화번호를 변경할 수 있어요.\n굳이 탈퇴하시고 재가입 할 필요 없어요.',"
11,,,,다음,"text: '다음'),"
12,,,,취소하기,"text: '취소하기',"
