,Key,Description,en,ko,origin
0,,,,사진 보관함,"text: '사진 보관함',"
1,,,,사진 촬영,"text: '사진 촬영',"
2,,,,삭제,"text: '삭제',"
3,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
4,,,,확인,"alertConfirm: '확인',"
5,,,,알림,"alertTitle: '알림',"
6,,,,사진을 등록하면 일자리 제안 받을 확률이 올라가요!,"'사진을 등록하면 일자리 제안 받을 확률이 올라가요!',"
7,,,,여기를 눌러 사진 업로드,"'여기를 눌러 사진 업로드',"
8,,,,사진 등록 Guide,"'사진 등록 Guide',"
9,,,,사진 등록이 필수 사항은 아니지만 사진을 등록하면 사장님들에게 신뢰감을 줄 수 있습니다.,"'사진 등록이 필수 사항은 아니지만 사진을 등록하면 사장님들에게 신뢰감을 줄 수 있습니다.',"
10,,,,"5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.","'5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.',"
11,,,,개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견시 사전 동의 없이 삭제 될 수 있습니다.),"'개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견시 사전 동의 없이 삭제 될 수 있습니다.)',"
12,,,,단정한 모습의 사진을 권장합니다.,"'단정한 모습의 사진을 권장합니다.',"
13,,,,정면에서 얼굴을 알아볼 수 있는 선명한 사진을 권장합니다.,"'정면에서 얼굴을 알아볼 수 있는 선명한 사진을 권장합니다.',"
14,,,,건너뛰기,"text: '건너뛰기',"
15,,,,다음,"text: '다음',"
