,Key,Description,en,ko,origin
0,,,,업체명을 확인해주세요.,return '업체명을 확인해주세요.';
1,,,,업체 전화번호를 확인해주세요.,return '업체 전화번호를 확인해주세요.';
2,,,,근무지 주소를 확인해주세요.,return '근무지 주소를 확인해주세요.';
3,,,,사업장 정보,"'사업장 정보',"
4,,,,회사명,"hintText: '회사명',"
5,,,,이름을 입력해주세요.,"//   const Text('이름을 입력해주세요.'),"
6,,,,회사 전화번호,"hintText: '회사 전화번호',"
7,,,,휴대폰 번호를 확인해주세요.,"//   const Text('휴대폰 번호를 확인해주세요.'),"
8,,,,근로자 주소,"// const Text('근로자 주소'),"
9,,,,주소를 입력해주세요.,"//   const Text('주소를 입력해주세요.'),"
10,,,,본인은 위 근로자 ${widget.data[,'본인은 위 근로자 ${widget.data['paWorkerName']}(이)가 위 사업장에서\n'
11,,,,]}(이)가 위 사업장에서 n,'본인은 위 근로자 ${widget.data['paWorkerName']}(이)가 위 사업장에서\n'
12,,,,근로를 하는것에 대하여 동의합니다.,"'근로를 하는것에 대하여 동의합니다.',"
13,,,,yyyy년 MM월 dd일,"DateFormat('yyyy년 MM월 dd일').format(DateTime.now()),"
14,,,,친권자 : ${widget.data[,"'친권자 : ${widget.data['paParentName']}',"
15,,,,(필수),"'(필수)',"
16,,,,내용에 이상이 없음을 확인하였습니다.,"' 내용에 이상이 없음을 확인하였습니다.',"
17,,,,제출하기,"text: '제출하기',"
