,Key,Description,en,ko,origin
0,,,,근무 형태,"title: '근무 형태',"
1,,,,하루 (1일),"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
2,,,,1주일 이하,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
3,,,,1주일 ~ 1개월,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
4,,,,1개월 ~ 3개월,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
5,,,,3개월 ~ 6개월,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
6,,,,6개월 ~ 1년,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
7,,,,1년 이상,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
8,,,,근무 기간,"title: '근무 기간', dataArr: widget.workPeriodList,"
9,,,,하루 (1일),"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
10,,,,1주일 이하,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
11,,,,1주일 ~ 1개월,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
12,,,,1개월 ~ 3개월,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
13,,,,3개월 ~ 6개월,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
14,,,,6개월 ~ 1년,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
15,,,,1년 이상,"// CheckList: const ['하루 (1일)','1주일 이하','1주일 ~ 1개월','1개월 ~ 3개월','3개월 ~ 6개월','6개월 ~ 1년','1년 이상'],"
16,,,,시작 시간,"title: type == 'start' ? '시작 시간' : '종료 시간',"
17,,,,종료 시간,"title: type == 'start' ? '시작 시간' : '종료 시간',"
18,,,,근무 조건,"title: '근무 조건',"
19,,,,급여,"title: '급여',"
20,,,,시급,"label: '시급',"
21,,,,일급,"label: '일급',"
22,,,,월급,"label: '월급',"
23,,,,급여를 입력해주세요.,"hintText: '급여를 입력해주세요.',"
24,,,,급여 협의 가능,"label: '급여 협의 가능',"
25,,,,근무형태,"title: '근무형태',"
26,,,,근무 형태를 선택해주세요.,"hintText: '근무 형태를 선택해주세요.',"
27,,,,수습기간,"title: '수습기간',"
28,,,,수습기간 없음,"label: '수습기간 없음',"
29,,,,직접 입력,"label: '직접 입력',"
30,,,,개월,"suffixText: '개월',"
31,,,,수습기간을 입력해주세요.,"hintText: '수습기간을 입력해주세요.',"
32,,,,근무기간,"title: '근무기간',"
33,,,,근무기간 협의 가능,"label: '근무기간 협의 가능',"
34,,,,근무 기간을 선택해주세요.,"hintText: '근무 기간을 선택해주세요.',"
35,,,,근무요일,"title: '근무요일',"
36,,,,근무요일 협의 가능,"label: '근무요일 협의 가능',"
37,,,,근무시간,"title: '근무시간',"
38,,,,근무시간 협의 가능,"label: '근무시간 협의 가능',"
39,,,,근무시작,"titleHint: '근무시작',"
40,,,,근무종료,"titleHint: '근무종료',"
41,,,,근무시작,"titleHint: '근무시작',"
42,,,,근무종료,"titleHint: '근무종료',"
43,,,,시간은 24시간 단위로 입력해주세요.,"'※ 시간은 24시간 단위로 입력해주세요.',"
44,,,,근로자의 건강과 안전을 위해 법정 최대 근로시간을 준수해 주세요. n주 52시간을 초과하지 않도록 유의해 주시기 바랍니다.,"'근로자의 건강과 안전을 위해 법정 최대 근로시간을 준수해 주세요.\n주 52시간을 초과하지 않도록 유의해 주시기 바랍니다.',"
45,,,,항목 추가하기,"'항목 추가하기',"
46,,,,근무시간을 확인해주세요.,"'근무시간을 확인해주세요.',"
47,,,,휴게시간,"title: '휴게시간',"
48,,,,휴게시간 협의 가능,"label: '휴게시간 협의 가능',"
49,,,,휴게 시간을 입력해주세요.,"hintText: '휴게 시간을 입력해주세요.',"
50,,,,분 제공,"Text('분 제공',"
51,,,,소정근무시간,"title: '소정근무시간',"
52,,,,주,"prefixText: '주',"
53,,,,소정근무시간을 입력해주세요.,"hintText: '소정근무시간을 입력해주세요.',"
54,,,,시간,"suffixText: '시간',"
55,,,,근무지 주소,"title: '근무지 주소',"
56,,,,입력하기,"text: '입력하기',"
