,Key,Description,en,ko,origin
0,,,,근로자 이름을 확인해주세요.,return '근로자 이름을 확인해주세요.';
1,,,,근로자 생년월일을 확인해주세요.,return '근로자 생년월일을 확인해주세요.';
2,,,,근로자 휴대폰 번호를 확인해주세요.,return '근로자 휴대폰 번호를 확인해주세요.';
3,,,,근로자 주소를 확인해주세요.,return '근로자 주소를 확인해주세요.';
4,,,,근로자 정보,"'근로자 정보',"
5,,,,이름을 입력해주세요,"hintText: '이름을 입력해주세요',"
6,,,,이름을 입력해주세요.,"//   const Text('이름을 입력해주세요.'),"
7,,,,생년월일 8자리를 확인해주세요.,"hintText: '생년월일 8자리를 확인해주세요.',"
8,,,,생년월일을 입력해주세요.,"//   const Text('생년월일을 입력해주세요.'),"
9,,,,휴대폰 번호를 입력해주세요,"hintText: '휴대폰 번호를 입력해주세요',"
10,,,,휴대폰 번호를 확인해주세요.,"//   const Text('휴대폰 번호를 확인해주세요.'),"
11,,,,주소,"'주소',"
12,,,,[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.,"commonInput(hintText: '[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.', disable: true),"
13,,,,"(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.","hintText: '(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.',"
14,,,,주소검색,"text: '주소검색',"
15,,,,다음,"text: '다음',"
