,Key,Description,en,ko,origin
0,,,,확인,"alertConfirm: '확인',"
1,,,,취소,"alertCancel: '취소',"
2,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
3,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
4,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
5,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
6,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
7,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
8,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
9,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
10,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
11,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
12,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
13,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
14,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
15,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
16,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
17,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
18,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
19,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
20,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
21,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
22,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
23,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
24,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
25,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
26,,,,계약서에 동의하지 않았습니다.,//   showDefaultToast('계약서에 동의하지 않았습니다.');
27,,,,계약서에 동의하지 않았습니다.,//   showDefaultToast('계약서에 동의하지 않았습니다.');
