,Key,Description,en,ko,origin
0,,,,채팅 생성에 실패했습니다. n다시 시도해주세요.,showDefaultToast('채팅 생성에 실패했습니다.\n다시 시도해주세요.');
1,,,,${chatUser.companyName}님과의 대화창을 열었습니다. 이제 톡으로 직접 소통해요!,"'${chatUser.companyName}님과의 대화창을 열었습니다. 이제 톡으로 직접 소통해요!',"
2,,,,메시지 전송에 실패했습니다.,showDefaultToast('메시지 전송에 실패했습니다.');
3,,,,알림,"showErrorAlert(context, '알림', '존재하지 않는 공고에 지원한 지원자입니다.');"
4,,,,존재하지 않는 공고에 지원한 지원자입니다.,"showErrorAlert(context, '알림', '존재하지 않는 공고에 지원한 지원자입니다.');"
5,,,,알림,"showErrorAlert(context, '알림', '채팅 생성에 실패했습니다.\n다시 시도해주세요.');"
6,,,,채팅 생성에 실패했습니다. n다시 시도해주세요.,"showErrorAlert(context, '알림', '채팅 생성에 실패했습니다.\n다시 시도해주세요.');"
7,,,,알림,"alertTitle: '알림',"
8,,,,이미 대화방이 생성된 회원입니다.,"alertContent: '이미 대화방이 생성된 회원입니다.',"
9,,,,확인,"alertConfirm: '확인',"
10,,,,취소,"alertCancel: '취소',"
11,,,,초코 부족!,"alertTitle: '초코 부족!',"
12,,,,보유한 초단 코인이 부족해요. n지금 바로 충전 하시겠어요?,"alertContent: '보유한 초단 코인이 부족해요.\n지금 바로 충전 하시겠어요?',"
13,,,,충전하기,"alertConfirm: '충전하기',"
14,,,,취소,"alertCancel: '취소',"
15,,,,아이템 정보를 가져오지 못했습니다.,showDefaultToast('아이템 정보를 가져오지 못했습니다.');
16,,,,아이템 정보를 가져오지 못했습니다.,showDefaultToast('아이템 정보를 가져오지 못했습니다.');
17,,,,"대화기간 ${item!.expireDay}일, 추가결제를 통해 대화 기간 연장 가능","day = '※ 대화기간 ${item!.expireDay}일, 추가결제를 통해 대화 기간 연장 가능';"
18,,,,대화기간 무제한,day = '※ 대화기간 무제한';
19,,,,대화 시작하기,"const TitleBottomSheet(title: '대화 시작하기'),"
20,,,,미친 매칭의 경우 무료로 대화가 가능합니다. n대화를 시작하시겠어요?,? '미친 매칭의 경우 무료로 대화가 가능합니다.\n대화를 시작하시겠어요?'
21,,,,대화를 시작하려면 ${ConvertService.returnStringWithCommaFormat(item!.finalPrice)}초코가 필요해요. n결제후 대화를 시작하시겠어요?,": '대화를 시작하려면 ${ConvertService.returnStringWithCommaFormat(item!.finalPrice)}초코가 필요해요.\n결제후 대화를 시작하시겠어요?',"
22,,,,보유 초단코인,"'보유 초단코인',"
23,,,,${ConvertService.returnStringWithCommaFormat(userInfo!.choco)} 초코,"'${ConvertService.returnStringWithCommaFormat(userInfo!.choco)} 초코',"
24,,,,대화기간 자동연장,"'대화기간 자동연장',"
25,,,,충전되어 있는 초코 잔액 한도 내에서 30일마다 자동으로 ${ConvertService.returnStringWithCommaFormat(keepItem!.finalPrice)}초코를 결제하고 대화 기간을 연장 해요.,"'충전되어 있는 초코 잔액 한도 내에서 30일마다 자동으로 ${ConvertService.returnStringWithCommaFormat(keepItem!.finalPrice)}초코를 결제하고 대화 기간을 연장 해요.  ',"
26,,,,(필수),"requireText: '(필수)',"
27,,,,서비스 이용약관,"text: '서비스 이용약관',"
28,,,,취소,"text: '취소',"
29,,,,결제하기,"text: '결제하기',"
