,Key,Description,en,ko,origin
0,,,,제안 취소,"alertTitle: '제안 취소',"
1,,,,선택하신 공고 제안을 취소하시겠어요?,"alertContent: '선택하신 공고 제안을 취소하시겠어요?',"
2,,,,제안 취소,"alertConfirm: '제안 취소',"
3,,,,닫기,"alertCancel: '닫기',"
4,,,,제안 취소,"text: '제안 취소',"
5,,,,지원자 차단,"alertTitle: '지원자 차단',"
6,,,,"선택하신 지원자를 차단하시겠어요? n차단 후에는 이 지원자의 프로필을 보거나, 지원을 받을 수 없어요.","'선택하신 지원자를 차단하시겠어요?\n차단 후에는 이 지원자의 프로필을 보거나, 지원을 받을 수 없어요.',"
7,,,,차단,"alertConfirm: '차단',"
8,,,,취소,"alertCancel: '취소',"
9,,,,차단,"'차단',"
10,,,,지원 거절하기,"alertTitle: '지원 거절하기',"
11,,,,선택한 지원을 거절 하시겠어요?,"alertContent: '선택한 지원을 거절 하시겠어요?',"
12,,,,거절,"alertConfirm: '거절',"
13,,,,취소,"alertCancel: '취소',"
14,,,,거절,"'거절',"
15,,,,지원 수락하기,"alertTitle: '지원 수락하기',"
16,,,,선택한 지원을 수락 하시겠어요?,"alertContent: '선택한 지원을 수락 하시겠어요?',"
17,,,,수락,"alertConfirm: '수락',"
18,,,,취소,"alertCancel: '취소',"
19,,,,거절함,? '거절함'
20,,,,지원 수락,": '지원 수락',"
21,,,,대화가 시작 된 후 확인 가능합니다.,showDefaultToast('대화가 시작 된 후 확인 가능합니다.');
22,,,,이력서 PDF,"text: '이력서 PDF',"
