,Key,Description,en,ko,origin
0,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
1,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
2,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
3,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
4,,,,확인,"alertConfirm: '확인',"
5,,,,취소,"alertCancel: '취소',"
6,,,,사진/동영상 삭제,"alertTitle: '사진/동영상 삭제',"
7,,,,선택한 사진/동영상을 삭제하시겠어요? n 삭제 후에는 복원이 불가능해요.,"alertContent: '선택한 사진/동영상을 삭제하시겠어요? \n 삭제 후에는 복원이 불가능해요.',"
8,,,,삭제,"alertConfirm: '삭제',"
9,,,,취소,"alertCancel: '취소',"
10,,,,삭제되었습니다.,showDefaultToast('삭제되었습니다.');
11,,,,삭제에 실패하였습니다.,showDefaultToast('삭제에 실패하였습니다.');
12,,,,메시지 삭제에 실패했습니다.,showDefaultToast('메시지 삭제에 실패했습니다.');
13,,,,표준 근로 계약서,return '표준 근로 계약서';
14,,,,급여 내역서,return '급여 내역서';
15,,,,사직서,return '사직서';
16,,,,친권자 동의서,return '친권자 동의서';
17,,,,건설일용 근로자 계약서,return '건설일용 근로자 계약서';
18,,,,연소 근로자 계약서,return '연소 근로자 계약서';
19,,,,단기간 근로자 계약서,return '단기간 근로자 계약서';
20,,,,휴가 신청서,return '휴가 신청서';
21,,,,표준 근로 계약서,return '표준 근로 계약서';
22,,,,다운로드 기간이 만료되었습니다.,showDefaultToast('다운로드 기간이 만료되었습니다.');
23,,,,서류보관함,"title: '서류보관함',"
24,,,,근무 서류 및 첨부파일,"tabTitleArr: ['근무 서류 및 첨부파일', '사진 및 동영상'],"
25,,,,사진 및 동영상,"tabTitleArr: ['근무 서류 및 첨부파일', '사진 및 동영상'],"
26,,,,파일이 없습니다.,? const CommonEmpty(text: '파일이 없습니다.')
27,,,,파일이 없습니다.,? const CommonEmpty(text: '파일이 없습니다.')
