,Key,Description,en,ko,origin
0,,,,프로필 사진,"'프로필 사진',"
1,,,,희망 근무 지역,"'희망 근무 지역',"
2,,,,희망 직종,"'희망 직종',"
3,,,,희망 근무 스케줄,"'희망 근무 스케줄',"
4,,,,희망 근무 조건,"'희망 근무 조건',"
5,,,,학력,"'학력',"
6,,,,경력,"'경력',"
7,,,,자기소개,"'자기소개',"
8,,,,첨부,"'첨부',"
9,,,,프로필 제목,"'프로필 제목',"
10,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
11,,,,확인,"alertConfirm: '확인',"
12,,,,알림,"alertTitle: '알림',"
13,,,,]} 전체,"'${item['joParent']['joName']} > ${item['joName']} 전체',"
14,,,,$origin 전체,return '$origin 전체';
15,,,,${defineData.name} 전체,ConvertService.removeParentheses('${defineData.name} 전체');
