,Key,Description,en,ko,origin
0,,,,안내,"alertTitle: '안내',"
1,,,,확인,"alertConfirm: '확인',"
2,,,,안내,"alertTitle: '안내',"
3,,,,확인,"alertConfirm: '확인',"
4,,,,채용 요청 사항을 입력해주세요.,showErrorAlert('채용 요청 사항을 입력해주세요.');
5,,,,채용 요청 사항을 입력해주세요.,showErrorAlert('채용 요청 사항을 입력해주세요.');
6,,,,서비스 적용 대상 공고를 선택해주세요.,showErrorAlert('서비스 적용 대상 공고를 선택해주세요.');
7,,,,적용할 서비스를 선택해주세요.,showErrorAlert('적용할 서비스를 선택해주세요.');
8,,,,${PremiumServiceEnum.match.label} 등록에 성공했습니다.,showConfirm('${PremiumServiceEnum.match.label} 등록에 성공했습니다.');
9,,,,일반 채용공고만 미친매칭 신청이 가능합니다.,showErrorAlert('일반 채용공고만 미친매칭 신청이 가능합니다.');
10,,,,미친매칭 신청에 실패하였습니다.,showErrorAlert('미친매칭 신청에 실패하였습니다.');
11,,,,안내,"alertTitle: '안내',"
12,,,,초코 잔액이 부족합니다. n충전 페이지로 이동하시겠습니까?,"alertContent: '초코 잔액이 부족합니다.\n충전 페이지로 이동하시겠습니까?',"
13,,,,이동하기,"alertConfirm: '이동하기',"
14,,,,취소,"alertCancel: '취소',"
15,,,,채용공고 등록대행,"'채용공고 등록대행',"
16,,,,인재추천 최소 3인/공고당,"'인재추천 최소 3인/공고당',"
17,,,,서비스 이용료,"'서비스 이용료',"
18,,,,서비스 제공기간,"'서비스 제공기간',"
19,,,,3일,"'3일',"
20,,,,${PremiumServiceEnum.match.label} 신청,"text: '${PremiumServiceEnum.match.label} 신청',"
21,,,,초단알바 잡 매니저가 공고 등록을 대신해드리고 등록된 공고에 맞는 인재를 추천해드려요.,"'초단알바 잡 매니저가 공고 등록을 대신해드리고 등록된 공고에 맞는 인재를 추천해드려요.',"
22,,,,신규 공고에 적용 ( 공고 등록 대행 포함),"title: '신규 공고에 적용 ( 공고 등록 대행 포함)',"
23,,,,"채용하려는 직원이 어떤 업무를 해야하는지, 채용조건은 어떻게되는지 적어주세요.","'채용하려는 직원이 어떤 업무를 해야하는지, 채용조건은 어떻게되는지 적어주세요.',"
24,,,,기존에 등록한 공고 목록을 선택해주시면 초단알바 잡매니저가 각 공고에 어울리는 인재를 추천해드려요,"'기존에 등록한 공고 목록을 선택해주시면 초단알바 잡매니저가 각 공고에 어울리는 인재를 추천해드려요',"
25,,,,기존 공고에 적용,"title: '기존 공고에 적용',"
26,,,,총 결제 금액,"'총 결제 금액',"
27,,,,"${setTotal(isApplyNewJobposting, isApplyExistingJobposting, selectedJobposting)}건","'${setTotal(isApplyNewJobposting, isApplyExistingJobposting, selectedJobposting)}건',"
28,,,,(필수),"requireText: '(필수)',"
29,,,,서비스 이용약관,"text: '서비스 이용약관',"
30,,,,결제 및 상담 신청하기,"text: '결제 및 상담 신청하기',"
