,Key,Description,en,ko,origin
0,,,,포트폴리오,"{'category': 1, 'text': '포트폴리오'},"
1,,,,자격증,"{'category': 2, 'text': '자격증'},"
2,,,,증명서,"{'category': 3, 'text': '증명서'},"
3,,,,이력서,"{'category': 4, 'text': '이력서'},"
4,,,,경력기술서,"{'category': 5, 'text': '경력기술서'},"
5,,,,기타,"{'category': 6, 'text': '기타'},"
6,,,,직접입력,"{'category': 7, 'text': '직접입력'},"
7,,,,프로필 수정이 완료 되었어요!,showDefaultToast('프로필 수정이 완료 되었어요!');
8,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
9,,,,확인,"alertConfirm: '확인',"
10,,,,알림,"alertTitle: '알림',"
11,,,,"상세히 입력할수록, 제안 받을 확률이 높아져요!","result = '상세히 입력할수록, 제안 받을 확률이 높아져요!';"
12,,,,작성 취소,"alertTitle: '작성 취소',"
13,,,,페이지를 이동하시겠어요? n이동 시 작성된 내용은 저장되지 않아요.,"alertContent: '페이지를 이동하시겠어요?\n이동 시 작성된 내용은 저장되지 않아요.',"
14,,,,확인,"alertConfirm: '확인',"
15,,,,취소,"alertCancel: '취소',"
16,,,,대표 프로필 변경,"alertTitle: '대표 프로필 변경',"
17,,,,대표 프로필은 1개만 설정 가능해요. n기존 대표 프로필을 현재 프로필로 변경 하시겠어요?,"alertContent: '대표 프로필은 1개만 설정 가능해요.\n기존 대표 프로필을 현재 프로필로 변경 하시겠어요?',"
18,,,,변경,"alertConfirm: '변경',"
19,,,,취소,"alertCancel: '취소',"
20,,,,$origin 전체,return '$origin 전체';
21,,,,${defineData.name} 전체,ConvertService.removeParentheses('${defineData.name} 전체');
22,,,,]} 전체,"'${item['joParent']['joName']} > ${item['joName']} 전체',"
23,,,,프로필 수정이 완료 되었어요!,showDefaultToast('프로필 수정이 완료 되었어요!');
24,,,,금칙어가 감지되었어요.,showDefaultToast('금칙어가 감지되었어요.');
25,,,,쓰기 제한이 되었어요.,showDefaultToast('쓰기 제한이 되었어요.');
26,,,,프로필 수정에 실패하였습니다.,showDefaultToast('프로필 수정에 실패하였습니다.');
27,,,,프로필 수정,"title: '프로필 수정',"
28,,,,프로필 제목,"title: '프로필 제목',"
29,,,,희망 근무 지역,"title: '희망 근무 지역',"
30,,,,희망 지역에서 제안을 받거나 공고를 찾아볼 수 있어요!,": '희망 지역에서 제안을 받거나 공고를 찾아볼 수 있어요!',"
31,,,,희망 직종,"title: '희망 직종',"
32,,,,희망하는 직종을 제안 받을 수 있어요!,": '희망하는 직종을 제안 받을 수 있어요!',"
33,,,,희망 근무 스케줄,"title: '희망 근무 스케줄',"
34,,,,"상세히 입력할수록, 제안 받을 확률이 높아져요!",": '상세히 입력할수록, 제안 받을 확률이 높아져요!',"
35,,,,희망 근무 조건,"title: '희망 근무 조건',"
36,,,,"상세히 입력할수록, 제안 받을 확률이 높아져요!",": '상세히 입력할수록, 제안 받을 확률이 높아져요!',"
37,,,,학력,"title: '학력',"
38,,,,학력을 요구하는 업무지원에 훨씬 유리해요!,": '학력을 요구하는 업무지원에 훨씬 유리해요!',"
39,,,,경력,"title: '경력',"
40,,,,경력을 요구하는 업무 지원에 훨씬 유리해요!,": '경력을 요구하는 업무 지원에 훨씬 유리해요!',"
41,,,,총 ${totalCareerMonths ~/ 12}년 ${totalCareerMonths % 12}개월,"'총 ${totalCareerMonths ~/ 12}년 ${totalCareerMonths % 12}개월',"
42,,,,자기소개,"title: '자기소개',"
43,,,,자신만의 특별한 강점을 어필해보세요!,": '자신만의 특별한 강점을 어필해보세요!',"
44,,,,첨부,"title: '첨부',"
45,,,,"사진, 자격증, 포트폴리오 등으로 내 자신을 PR 해요!",": '사진, 자격증, 포트폴리오 등으로 내 자신을 PR 해요!',"
46,,,,일자리 제안 받기,"'일자리 제안 받기',"
47,,,,전체 업무 제안 받음,"label: '전체 업무 제안 받음',"
48,,,,희망 업무만 제안 받음,"label: '희망 업무만 제안 받음',"
49,,,,제안 받지 않음,"label: '제안 받지 않음',"
50,,,,작성한 프로필을 대표 프로필로 설정하기,"'작성한 프로필을 대표 프로필로 설정하기',"
51,,,,수정하기,"text: '수정하기',"
