,Key,Description,en,ko,origin
0,,,,표준 근로 계약서,"'normalContractCreate': '표준 근로 계약서',"
1,,,,단기간 근로자 계약서,"'shortContractCreate': '단기간 근로자 계약서',"
2,,,,연소 근로 계약서,"'minorContractCreate': '연소 근로 계약서',"
3,,,,건설일용 근로 계약서,"'constructionContractCreate': '건설일용 근로 계약서',"
4,,,,표준 근로 계약서,"'normalContractUpdate': '표준 근로 계약서',"
5,,,,단기간 근로자 계약서,"'shortContractUpdate': '단기간 근로자 계약서',"
6,,,,연소 근로 계약서,"'minorContractUpdate': '연소 근로 계약서',"
7,,,,건설일용 근로 계약서,"'constructionContractUpdate': '건설일용 근로 계약서',"
8,,,,급여 내역서,"'salary': '급여 내역서',"
9,,,,친권자 동의서,"'consent': '친권자 동의서',"
10,,,,사직서,"'resignation': '사직서',"
11,,,,휴가 신청서,"'vacation': '휴가 신청서',"
12,,,,출근 체크,"'attendance': '출근 체크',"
13,,,,퇴근 체크,"'leave': '퇴근 체크',"
14,,,,외근 체크,"'outside': '외근 체크',"
15,,,,복귀 체크,"'comeback': '복귀 체크',"
16,,,,메시지가 삭제되었습니다.,? '메시지가 삭제되었습니다.'
17,,,,다운로드 기간이 만료되었습니다.,showDefaultToast('다운로드 기간이 만료되었습니다.');
