,Key,Description,en,ko,origin
0,,,,생년월일을 확인해주세요.,birthErrorMessage = '생년월일을 확인해주세요.';
1,,,,생년월일을 확인해주세요.,birthErrorMessage = '생년월일을 확인해주세요.';
2,,,,생년월일을 확인해주세요.,birthErrorMessage = '생년월일을 확인해주세요.';
3,,,,유효하지 않은 주소입니다.,showDefaultToast('유효하지 않은 주소입니다.');
4,,,,회원가입에 실패하였습니다.,showDefaultToast('회원가입에 실패하였습니다.');
5,,,,없는 회원입니다,showDefaultToast('없는 회원입니다');
6,,,,잘못된 비밀번호입니다.,showDefaultToast('잘못된 비밀번호입니다.');
7,,,,인증 코드가 일치하지 않습니다.,showDefaultToast('인증 코드가 일치하지 않습니다.');
8,,,,존재하지 않는 추천인 회원입니다.,showDefaultToast('존재하지 않는 추천인 회원입니다.');
9,,,,"차단된 아이디, 휴대폰 번호입니다.","showDefaultToast('차단된 아이디, 휴대폰 번호입니다.');"
10,,,,차단된 회원입니다.,showDefaultToast('차단된 회원입니다.');
11,,,,로그인이 제한된 회원입니다.,showDefaultToast('로그인이 제한된 회원입니다.');
12,,,,잘못된 주소입니다.,showDefaultToast('잘못된 주소입니다.');
13,,,,쓰기제한된 회원입니다.,showDefaultToast('쓰기제한된 회원입니다.');
14,,,,이미 승인된 회원입니다.,showDefaultToast('이미 승인된 회원입니다.');
15,,,,회원가입에 실패하였습니다.,showDefaultToast('회원가입에 실패하였습니다.');
16,,,,이름,"'이름',"
17,,,,생년월일,"'생년월일',"
18,,,,휴대폰 번호,"'휴대폰 번호',"
19,,,,휴대폰 인증이 완료되었습니다.,"phoneNumberErrorMessage == '휴대폰 인증이 완료되었습니다.',"
20,,,,인증 요청,"text: '인증 요청',"
21,,,,재전송,"text: '재전송'),"
22,,,,인증,"text: '인증',"
23,,,,휴대폰 인증이 완료되었습니다.,child: phoneNumberErrorMessage == '휴대폰 인증이 완료되었습니다.'
24,,,,휴대폰 인증이 완료되었습니다.,"'휴대폰 인증이 완료되었습니다.',"
25,,,,주소,"'주소',"
26,,,,주소 검색,"text: '주소 검색',"
27,,,,추천인 ID,"'추천인 ID',"
28,,,,가입하기,"text: widget.memberType == 'JOBSEEKER' ? '가입하기' : '다음',"
29,,,,다음,"text: widget.memberType == 'JOBSEEKER' ? '가입하기' : '다음',"
