,Key,Description,en,ko,origin
0,,,,알림,"showErrorAlert(context, '알림', msg);"
1,,,,이미 가입된 회원입니다.,showDefaultToast('이미 가입된 회원입니다.');
2,,,,인증 자격이 없습니다.,return '인증 자격이 없습니다.';
3,,,,권한이 없습니다.,return '권한이 없습니다.';
4,,,,조회된 객체가 없습니다.,return '조회된 객체가 없습니다.';
5,,,,소셜 회원가입이 완료되지 않았습니다.,return '소셜 회원가입이 완료되지 않았습니다.';
6,,,,파라미터 검증 에러입니다.,return '파라미터 검증 에러입니다.';
7,,,,사업자등록번호 중복,return '사업자등록번호 중복';
8,,,,로그인에 실패하였습니다.,return '로그인에 실패하였습니다.';
9,,,,알바,"'${widget.type == 'JOBSEEKER' ? '알바' : '사장'}님',"
10,,,,사장,"'${widget.type == 'JOBSEEKER' ? '알바' : '사장'}님',"
11,,,,회원가입,"'회원가입',"
12,,,,다음,"text: '다음',"
