,Key,Description,en,ko,origin
0,,,,담당자 정보,"title: '담당자 정보',"
1,,,,공고 등록 시 수정한 내용은 기업정보에 반영되지 않아요!,"'공고 등록 시 수정한 내용은 기업정보에 반영되지 않아요!',"
2,,,,담당자명,"title: '담당자명',"
3,,,,* 담당자명을 확인해주세요.,"Text('* 담당자명을 확인해주세요.',"
4,,,,담당자명 비공개,"label: '담당자명 비공개',"
5,,,,담당자 연락처,"title: '담당자 연락처',"
6,,,,* 휴대폰 번호를 확인해주세요.,"Text('* 휴대폰 번호를 확인해주세요.',"
7,,,,담당자 연락처 비공개,"label: '담당자 연락처 비공개',"
8,,,,담당자 이메일,"title: '담당자 이메일',"
9,,,,* 이메일을 확인해주세요.,"Text('* 이메일을 확인해주세요.',"
10,,,,담당자 이메일 비공개,"label: '담당자 이메일 비공개',"
11,,,,입력하기,"text: '입력하기',"
