,Key,Description,en,ko,origin
0,,,,프리미엄 서비스,"title: '프리미엄 서비스',"
1,,,,서비스 목록,"'서비스 목록',"
2,,,,나의 신청 내역,"'나의 신청 내역',"
3,,,,미친매칭,"'미친매칭',"
4,,,,채용공고 등록&인재검색 및 추천을 모두 대신 하는 미친듯 편한 인재 매칭!,"'채용공고 등록&인재검색 및 추천을 모두 대신 하는 미친듯 편한 인재 매칭!',"
5,,,,이제 초저가로 HR컨설팅을 경험하세요.,"'이제 초저가로 HR컨설팅을 경험하세요.',"
6,,,,신청 바로가기,"text: '신청 바로가기',"
7,,,,지역별 상위 노출,"'지역별 상위 노출',"
8,,,,지역별 채용공고목록 상단에 회원님의 공고를 배치해서,"'지역별 채용공고목록 상단에 회원님의 공고를 배치해서',"
9,,,,더 많은 구직자에게 채용 공고를 노출하고 관심을 높이세요.,"'더 많은 구직자에게 채용 공고를 노출하고 관심을 높이세요.',"
10,,,,신청 바로가기,"text: '신청 바로가기',"
11,,,,브랜드 테마관,"'브랜드 테마관',"
12,,,,앱 내 배너링크 제공! 기업정보 및 채용소식을 웹진처럼 제공하는 스페셜 채용관 페이지 생성!,"'앱 내 배너링크 제공! 기업정보 및 채용소식을 웹진처럼 제공하는 스페셜 채용관 페이지 생성!',"
13,,,,지금 즉시 문의 주세요.,"'지금 즉시 문의 주세요.',"
14,,,,신청 바로가기,"text: '신청 바로가기',"
