,Key,Description,en,ko,origin
0,,,,추천 알바 신규 도착 알림,"{'title': '추천 알바 신규 도착 알림', 'key': 'majRecommend', 'value': false},"
1,,,,근처 신규 채용 공고 알림,"{'title': '근처 신규 채용 공고 알림', 'key': 'majNearNewJobposting', 'value': false},"
2,,,,일자리 제안 수신 알림,"{'title': '일자리 제안 수신 알림', 'key': 'majJobOffer', 'value': false},"
3,,,,스크랩 공고 마감 알림,"{'title': '스크랩 공고 마감 알림', 'key': 'majScrap', 'value': false},"
4,,,,관심기업 신규 채용공고 알림,"{'title': '관심기업 신규 채용공고 알림', 'key': 'majNewRecruits', 'value': false},"
5,,,,프로필 미완성 알림,"{'title': '프로필 미완성 알림', 'key': 'majProfile', 'value': false},"
6,,,,공고 지원 알림,"{'title': '공고 지원 알림', 'key': 'majJobposting', 'value': false},"
7,,,,프로필 노출/비노출 알림,"{'title': '프로필 노출/비노출 알림', 'key': 'majDisplayProfile', 'value': false},"
8,,,,새 대화창 알림,"{'title': '새 대화창 알림', 'key': 'majNewRoom', 'value': false},"
9,,,,대화/사진/파일 전송 알림,"{'title': '대화/사진/파일 전송 알림', 'key': 'majMessage', 'value': false},"
10,,,,근로계약서 수신 알림,"{'title': '근로계약서 수신 알림', 'key': 'majEmployment', 'value': false},"
11,,,,급여내역서 수신 알림,"{'title': '급여내역서 수신 알림', 'key': 'majSalary', 'value': false},"
12,,,,서류 수리 반려 알림,"{'title': '서류 수리 반려 알림', 'key': 'majDocumentRejection', 'value': false},"
13,,,,노무상담답변 알림,"{'title': '노무상담답변 알림', 'key': 'maQnaAlarm', 'value': false},"
14,,,,공지 알림,"{'title': '공지 알림', 'key': 'maNoticeAlarm', 'value': false},"
15,,,,문자 수신,"'title': '문자 수신',"
16,,,,휴대폰문자,'target': '휴대폰문자'
17,,,,이메일 수신,"'title': '이메일 수신',"
18,,,,이메일,'target': '이메일'
19,,,,푸시 수신,"'title': '푸시 수신',"
20,,,,앱 푸시,'target': '앱 푸시'
21,,,,야간 수신 동의 여부,"{'title': '야간 수신 동의 여부', 'key': 'maNightAlarm', 'value': false},"
22,,,,동의,String agreeString = isAgree ? '동의' : '거부';
23,,,,거부,String agreeString = isAgree ? '동의' : '거부';
24,,,,정보 수신 $agreeString 안내,"alertTitle: '정보 수신 $agreeString 안내',"
25,,,,yyyy년 MM월 dd일,"'${DateFormat('yyyy년 MM월 dd일').format(now)}\n 마케팅 정보 수신 $agreeString($target) 처리되었어요.',"
26,,,,확인,"alertConfirm: '확인',"
27,,,,회원정보,"showErrorAlert('회원정보', '회원정보를 가져오기에 실패하였습니다.');"
28,,,,회원정보를 가져오기에 실패하였습니다.,"showErrorAlert('회원정보', '회원정보를 가져오기에 실패하였습니다.');"
29,,,,확인,"alertConfirm: '확인',"
30,,,,채용정보 알림,"sliver: TitleMenu(title: '채용정보 알림'),"
31,,,,채용정보 알림 전체,"text: '채용정보 알림 전체',"
32,,,,구직활동 알림,"sliver: TitleMenu(title: '구직활동 알림'),"
33,,,,구직 활동 알림 전체,"text: '구직 활동 알림 전체',"
34,,,,매칭/대화 알림,"sliver: TitleMenu(title: '매칭/대화 알림'),"
35,,,,매칭/대화 알림 전체,"text: '매칭/대화 알림 전체',"
36,,,,기타 알림,"sliver: TitleMenu(title: '기타 알림'),"
37,,,,기타 알림 전체,"text: '기타 알림 전체',"
38,,,,마케팅 알림,"sliver: TitleMenu(title: '마케팅 알림'),"
39,,,,마케팅 알림 전체,"text: '마케팅 알림 전체',"
40,,,,전체,"notificationStatus['marketing']!, '전체');"
41,,,,오후 9시부터 다음날 오전 8시까지 마케팅 정보를 받습니다.,? '오후 9시부터 다음날 오전 8시까지 마케팅 정보를 받습니다.'
