,Key,Description,en,ko,origin
0,,,,연령 무관,"'label' : '연령 무관',"
1,,,,10대,"'label' : '10대',"
2,,,,20대,"'label' : '20대',"
3,,,,30대,"'label' : '30대',"
4,,,,40대,"'label' : '40대',"
5,,,,50대,"'label' : '50대',"
6,,,,60대,"'label' : '60대',"
7,,,,70대,"'label' : '70대',"
8,,,,경력무관,"'label' : '경력무관',"
9,,,,신입,"'label' : '신입',"
10,,,,경력,"'label' : '경력',"
11,,,,3개월,"'label' : '3개월',"
12,,,,6개월,"'label' : '6개월',"
13,,,,1년,"'label' : '1년',"
14,,,,2년,"'label' : '2년',"
15,,,,직접 입력,"'label' : '직접 입력',"
16,,,,전체,"'label' : '전체',"
