,Key,Description,en,ko,origin
0,,,,차단인재에서 추가에 실패하였습니다.,showDefaultToast('차단인재에서 추가에 실패하였습니다.');
1,,,,차단인재에서 삭제에 실패하였습니다.,showDefaultToast('차단인재에서 삭제에 실패하였습니다.');
2,,,,이미 등록된 관심 인재입니다.,showDefaultToast('이미 등록된 관심 인재입니다.');
3,,,,관심인재에서 삭제에 실패하였습니다.,showDefaultToast('관심인재에서 삭제에 실패하였습니다.');
4,,,,차단인재에서 삭제했어요!,showDefaultToast('차단인재에서 삭제했어요!');
5,,,,차단인재로 저장했어요!,showDefaultToast('차단인재로 저장했어요!');
6,,,,관심인재에서 삭제했어요!,showDefaultToast('관심인재에서 삭제했어요!');
7,,,,관심인재로 저장했어요!,showDefaultToast('관심인재로 저장했어요!');
8,,,,관심/차단인재,"title: '관심/차단인재',"
9,,,,관심인재,"tabTitleArr: const ['관심인재', '차단인재'],"
10,,,,차단인재,"tabTitleArr: const ['관심인재', '차단인재'],"
11,,,,관심인재가 없습니다.,text: activeTab == 0 ? '관심인재가 없습니다.' : '차단인재가 없습니다.')
12,,,,차단인재가 없습니다.,text: activeTab == 0 ? '관심인재가 없습니다.' : '차단인재가 없습니다.')
