,Key,Description,en,ko,origin
0,,,,마이페이지,"tabTitleArr: ['마이페이지', '설정'],"
1,,,,설정,"tabTitleArr: ['마이페이지', '설정'],"
2,,,,"(${ConvertService.calculateAge(userInfo.birth)}세, ${ProfileService.identifyGender(userInfo.gender)})","'(${ConvertService.calculateAge(userInfo.birth)}세, ${ProfileService.identifyGender(userInfo.gender)})',"
3,,,,포인트,"'포인트',"
4,,,,프로필 관리,"'프로필 관리',"
5,,,,스크랩,"'스크랩',"
6,,,,최근본공고,"'최근본공고',"
7,,,,관심기업,"'관심기업',"
8,,,,차단기업,"'차단기업',"
9,,,,취업활동증명서 발급,"text: '취업활동증명서 발급',"
10,,,,노무 상담 하기,"text: '노무 상담 하기',"
11,,,,계약서/사직서,"text: '계약서/사직서',"
12,,,,별점 관리,"text: '별점 관리',"
13,,,,활동 포인트 관리,"text: '활동 포인트 관리',"
14,,,,친구 초대하기,"text: '친구 초대하기',"
15,,,,친구 초대하기,"'친구 초대하기',"
