,Key,Description,en,ko,origin
0,,,,안내,"alertTitle: '안내',"
1,,,,공고 사진은 최대 3장까지 등록할 수 있습니다.,"alertContent: '공고 사진은 최대 3장까지 등록할 수 있습니다.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,사진 보관함,"text: '사진 보관함'),"
4,,,,사진 촬영,"text: '사진 촬영'),"
5,,,,삭제,"text: '삭제'),"
6,,,,공고 사진,"title: '공고 사진',"
7,,,,공고 사진은 최소 1장 이상 등록해주세요!,"'공고 사진은 최소 1장 이상 등록해주세요!',"
8,,,,사진 등록 하기,"'사진 등록 하기',"
9,,,,사진 등록 하기,"'사진 등록 하기',"
10,,,,사진 등록 Guide,"'사진 등록 Guide',"
11,,,,사진 등록이 필수 사항은 아니지만 사진을 등록하면 알바님들에게 신뢰감을 줄 수 있습니다.,"'사진 등록이 필수 사항은 아니지만 사진을 등록하면 알바님들에게 신뢰감을 줄 수 있습니다.',"
12,,,,"5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.","'5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.',"
13,,,,근무지의 실내 외 사진 또는 근무지 간판이나 로고를 올려주세요.,"'근무지의 실내 외 사진 또는 근무지 간판이나 로고를 올려주세요.',"
14,,,,선명하고 깨끗한 사진을 권장합니다.,"'선명하고 깨끗한 사진을 권장합니다.',"
15,,,,개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견 시 사전 동의 없이 삭제 될 수 있습니다.),"'개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견 시 사전 동의 없이 삭제 될 수 있습니다.)',"
16,,,,사진 등록하기,"text: '사진 등록하기',"
