,Key,Description,en,ko,origin
0,,,,친권자 이름을 확인해주세요.,msg = '친권자 이름을 확인해주세요.';
1,,,,친권자 생년월일을 확인해주세요.,msg = '친권자 생년월일을 확인해주세요.';
2,,,,친권자 휴대폰 번호를 확인해주세요.,msg = '친권자 휴대폰 번호를 확인해주세요.';
3,,,,근로자와의 관계를 확인해주세요.,msg = '근로자와의 관계를 확인해주세요.';
4,,,,친권자 주소를 확인해주세요.,msg = '친권자 주소를 확인해주세요.';
5,,,,근로자 이름을 확인해주세요.,msg = '근로자 이름을 확인해주세요.';
6,,,,근로자 생년월일을 확인해주세요.,msg = '근로자 생년월일을 확인해주세요.';
7,,,,근로자 휴대폰 번호를 확인해주세요.,msg = '근로자 휴대폰 번호를 확인해주세요.';
8,,,,근로자 주소를 확인해주세요.,msg = '근로자 주소를 확인해주세요.';
9,,,,서류 저장에 실패했습니다.,showDefaultToast('서류 저장에 실패했습니다.');
10,,,,서류 등록에 성공했습니다.,showDefaultToast('서류 등록에 성공했습니다.');
11,,,,서류 등록에 실패했습니다.,showDefaultToast('서류 등록에 실패했습니다.');
12,,,,유저 정보가 비정상입니다.,showDefaultToast('유저 정보가 비정상입니다.');
13,,,,서명 이미지 업로드에 실패했습니다.,showDefaultToast('서명 이미지 업로드에 실패했습니다.');
14,,,,제출하기,"const TitleBottomSheet(title: '제출하기'),"
15,,,,서명 시 이름을 정자로 써주세요.,"'서명 시 이름을 정자로 써주세요.',"
16,,,,서명 지우기,"text: '서명 지우기'),"
17,,,,서명 후 제출하기,"text: '서명 후 제출하기',"
18,,,,부,"{'name': '부', 'key': 1},"
19,,,,모,"{'name': '모', 'key': 2},"
20,,,,법정대리인,"{'name': '법정대리인', 'key': 3},"
21,,,,근로자 이름을 확인해주세요.,return '근로자 이름을 확인해주세요.';
22,,,,근로자 생년월일을 확인해주세요.,return '근로자 생년월일을 확인해주세요.';
23,,,,근로자 휴대폰 번호를 확인해주세요.,return '근로자 휴대폰 번호를 확인해주세요.';
24,,,,근로자 주소를 확인해주세요.,return '근로자 주소를 확인해주세요.';
25,,,,친권 동의서 작성,"title: '친권 동의서 작성',"
26,,,,친권자정보,"text: '친권자정보',"
27,,,,근로자정보,"text: '근로자정보',"
28,,,,근로동의,"text: '근로동의',"
29,,,,친권자 정보,"'친권자 정보',"
30,,,,이름을 확인해주세요.,"hintText: '이름을 확인해주세요.',"
31,,,,생년월일 8자리를 확인해주세요.,"hintText: '생년월일 8자리를 확인해주세요.',"
32,,,,휴대폰 번호를 확인해주세요.,"hintText: '휴대폰 번호를 확인해주세요.',"
33,,,,근로자와의 관계를 선택해주세요,"hintText: '근로자와의 관계를 선택해주세요'),"
34,,,,주소,"'주소',"
35,,,,[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.,"hintText: '[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.',"
36,,,,"(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.","'(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.',"
37,,,,근로자 정보,"'근로자 정보',"
38,,,,이름을 입력해주세요,"hintText: '이름을 입력해주세요',"
39,,,,생년월일 8자리를 확인해주세요.,"hintText: '생년월일 8자리를 확인해주세요.',"
40,,,,휴대폰 번호를 입력해주세요,"hintText: '휴대폰 번호를 입력해주세요',"
41,,,,주소,"'주소',"
42,,,,[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.,"hintText: '[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.',"
43,,,,"(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.","'(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.',"
44,,,,사업장 정보,"'사업장 정보',"
45,,,,회사명,"hintText: '회사명',"
46,,,,회사 전화번호,"hintText: '회사 전화번호',"
47,,,,본인은 위 근로자 ${params[,'본인은 위 근로자 ${params['paWorkerName']}(이)가 위 사업장에서\n'
48,,,,]}(이)가 위 사업장에서 n,'본인은 위 근로자 ${params['paWorkerName']}(이)가 위 사업장에서\n'
49,,,,근로를 하는것에 대하여 동의합니다.,"'근로를 하는것에 대하여 동의합니다.',"
50,,,,yyyy년 MM월 dd일,DateFormat('yyyy년 MM월 dd일')
51,,,,친권자 : ${params[,"'친권자 : ${params['paParentName']}',"
52,,,,(필수),"'(필수)',"
53,,,,내용에 이상이 없음을 확인하였습니다.,"' 내용에 이상이 없음을 확인하였습니다.',"
54,,,,제출하기,"text: step == 3 ? '제출하기' : '다음',"
55,,,,다음,"text: step == 3 ? '제출하기' : '다음',"
