,Key,Description,en,ko,origin
0,,,,로그인,return '로그인';
1,,,,프로필 등록,return '프로필 등록';
2,,,,채용 공고 스크랩,return '채용 공고 스크랩';
3,,,,관심 기업 추가,return '관심 기업 추가';
4,,,,채용 공고 공유,return '채용 공고 공유';
5,,,,입사 지원,return '입사 지원';
6,,,,채용 공고 보기,return '채용 공고 보기';
7,,,,로그인,return '로그인';
8,,,,기업 정보 등록,return '기업 정보 등록';
9,,,,채용 공고 등록,return '채용 공고 등록';
10,,,,인재 살펴 보기,return '인재 살펴 보기';
11,,,,일자리 제안하기,return '일자리 제안하기';
12,,,,관심 인재 추가,return '관심 인재 추가';
13,,,,초대,return '초대';
14,,,,초대 성공,return '초대 성공';
15,,,,별점 평가 완료,return '별점 평가 완료';
16,,,,노무 상담 글쓰기,return '노무 상담 글쓰기';
17,,,,활동 포인트 관리,"title: '활동 포인트 관리',"
18,,,,나의 활동 포인트,"'나의 활동 포인트',"
19,,,,활동 포인트 내역,"TitleMenu(title: '활동 포인트 내역'),"
20,,,,활동한 내역이 없어요.,"child: const CommonEmpty(text: '활동한 내역이 없어요.')),"
