,Key,Description,en,ko,origin
0,,,,알림,"alertTitle: '알림',"
1,,,,해당 계약을 한 대화방이 없습니다.,"alertContent: '해당 계약을 한 대화방이 없습니다.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
4,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
5,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
6,,,,)}년,"formattedDate = '${dateTime.year.toString().padLeft(4, '0')}년 '"
7,,,,)}월,"'${dateTime.month.toString().padLeft(2, '0')}월 '"
8,,,,)}일,"'${dateTime.day.toString().padLeft(2, '0')}일';"
9,,,,계약서/사직서,"title: '계약서/사직서',"
10,,,,계약서,"tabTitleArr: const ['계약서', '사직서'],"
11,,,,사직서,"tabTitleArr: const ['계약서', '사직서'],"
12,,,,작성된 계약서가 없습니다.,child: const CommonEmpty(text: '작성된 계약서가 없습니다.'))
13,,,,작성된 사직서가 없습니다.,child: const CommonEmpty(text: '작성된 사직서가 없습니다.'))
