,Key,Description,en,ko,origin
0,,,,연차,"{'name': '연차', 'key': 1},"
1,,,,경조휴가,"{'name': '경조휴가', 'key': 2},"
2,,,,포상휴가,"{'name': '포상휴가', 'key': 3},"
3,,,,생리휴가,"{'name': '생리휴가', 'key': 4},"
4,,,,기타휴가,"{'name': '기타휴가', 'key': 5},"
5,,,,휴가 신청서 제출에 실패했습니다.,showDefaultToast('휴가 신청서 제출에 실패했습니다.');
6,,,,휴가 신청서 제출에 성공했습니다.,showDefaultToast('휴가 신청서 제출에 성공했습니다.');
7,,,,휴가 신청서 제출에 실패했습니다.,showDefaultToast('휴가 신청서 제출에 실패했습니다.');
8,,,,유저 정보가 비정상입니다.,showDefaultToast('유저 정보가 비정상입니다.');
9,,,,휴가 종류,"title: '휴가 종류',"
10,,,,이름을 확인해주세요.,msg = '이름을 확인해주세요.';
11,,,,휴대폰 번호를 확인해주세요.,msg = '휴대폰 번호를 확인해주세요.';
12,,,,휴가 종류를 확인해주세요.,msg = '휴가 종류를 확인해주세요.';
13,,,,휴가 기간을 확인해주세요.,msg = '휴가 기간을 확인해주세요.';
14,,,,휴가 사유를 확인해주세요.,msg = '휴가 사유를 확인해주세요.';
15,,,,휴가 신청서 작성,"title: '휴가 신청서 작성',"
16,,,,신청자 정보,"'신청자 정보',"
17,,,,이름을 입력해주세요.,"decoration: commonInput(hintText: '이름을 입력해주세요.'),"
18,,,,휴대폰 번호를 입력해주세요.,"decoration: commonInput(hintText: '휴대폰 번호를 입력해주세요.'),"
19,,,,(선택) 소속 부서를 입력해주세요.,"decoration: commonInput(hintText: '(선택) 소속 부서를 입력해주세요.'),"
20,,,,(선택) 직위를 입력해주세요.,"decoration: commonInput(hintText: '(선택) 직위를 입력해주세요.'),"
21,,,,내용,"'내용',"
22,,,,휴가 종류를 선택해주세요.,"hintText: '휴가 종류를 선택해주세요.',"
23,,,,휴가 기간을 선택해주세요.,"hintText: '휴가 기간을 선택해주세요.',"
24,,,,휴가 사유를 입력해주세요.,"hintText: '휴가 사유를 입력해주세요.',"
25,,,,제출하기,"text: '제출하기',"
