,Key,Description,en,ko,origin
0,,,,연차,return '연차';
1,,,,경조휴가,return '경조휴가';
2,,,,포상휴가,return '포상휴가';
3,,,,생리휴가,return '생리휴가';
4,,,,기타휴가,return '기타휴가';
5,,,,연차,return '연차';
6,,,,휴가 신청서,"'휴가 신청서',"
7,,,,신청자 정보,"'신청자 정보',"
8,,,,이름,"'이름',"
9,,,,연락처,"'연락처',"
10,,,,소속,"'소속',"
11,,,,직위,"'직위',"
12,,,,내용,"'내용',"
13,,,,휴가종류,"'휴가종류',"
14,,,,휴가기간,"'휴가기간',"
15,,,,휴가사유,"'휴가사유',"
16,,,,위의 사유로 휴가 신청서를 n 제출하오니 허락하여 주시기 바랍니다.,"'위의 사유로 휴가 신청서를\n 제출하오니 허락하여 주시기 바랍니다.',"
17,,,,신청자: ${detailData!.vacationDto.vaWorkerName},"'신청자: ${detailData!.vacationDto.vaWorkerName}',"
