,Key,Description,en,ko,origin
0,,,,안내,"alertTitle: '안내',"
1,,,,확인,"alertConfirm: '확인',"
2,,,,안내,"alertTitle: '안내',"
3,,,,초코 잔액이 부족합니다. n충전 페이지로 이동하시겠습니까?,"alertContent: '초코 잔액이 부족합니다.\n충전 페이지로 이동하시겠습니까?',"
4,,,,이동하기,"alertConfirm: '이동하기',"
5,,,,취소,"alertCancel: '취소',"
6,,,,안내,"alertTitle: '안내',"
7,,,,확인,"alertConfirm: '확인',"
8,,,,${PremiumServiceEnum.areaTop.label} 등록에 성공했습니다.,showConfirm('${PremiumServiceEnum.areaTop.label} 등록에 성공했습니다.');
9,,,,데이터 통신에 실패하였습니다.,showErrorAlert('데이터 통신에 실패하였습니다.');
10,,,,지역별 상위노출,"title: '지역별 상위노출',"
11,,,,선택한 5개 지역에서 채용공고 목록 상단 노출,"'선택한 5개 지역에서 채용공고 목록 상단 노출',"
12,,,,서비스 이용료,"'서비스 이용료',"
13,,,,서비스 제공기간,"'서비스 제공기간',"
14,,,,${premiumData!.expireDay}일,"'${premiumData!.expireDay}일',"
15,,,,상위 노출 지역 선택,"text: '상위 노출 지역 선택',"
16,,,,아래 + 버튼을 눌러 상위노출 희망 지역 5개를 선정해주세요.,"'아래 + 버튼을 눌러 상위노출 희망 지역 5개를 선정해주세요.',"
17,,,,지역 선택,"'지역 선택',"
18,,,,적용 채용공고 선택,"text: '적용 채용공고 선택',"
19,,,,"기존에 등록한 공고 목록을 선택해주시면, 지역별 상위 노출이 반영됩니다.","'기존에 등록한 공고 목록을 선택해주시면, 지역별 상위 노출이 반영됩니다.',"
20,,,,총 결제 금액,"'총 결제 금액',"
21,,,,${selectedJobposting.length}건,"'${selectedJobposting.length}건',"
22,,,,(필수),"requireText: '(필수)',"
23,,,,서비스 이용약관,"text: '서비스 이용약관',"
24,,,,결제하기,"text: '결제하기',"
