,Key,Description,en,ko,origin
0,,,,입력하신 내용을 확인 후 다시 저장해주세요.,"alertContent: '입력하신 내용을 확인 후 다시 저장해주세요.',"
1,,,,금칙어: [$forbiddenWord],"redText: '금칙어: [$forbiddenWord]',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,금칙어가 감지되었어요.,"alertTitle: '금칙어가 감지되었어요.',"
4,,,,여러분이 n누구인지 알고싶어요.,"'여러분이\n누구인지 알고싶어요.',"
5,,,,자신만의 특별한 강점을 어필해보세요!,"'자신만의 특별한 강점을 어필해보세요!',"
6,,,,자기소개 혹은 나의 키워드 영역 중 1개 영역 기입 필수,"'자기소개 혹은 나의 키워드 영역 중 1개 영역 기입 필수',"
7,,,,자기소개,"'자기소개',"
8,,,,나의 키워드,"'나의 키워드',"
9,,,,더보기,"//     child: const Text('더보기'),"
10,,,,더보기,"'더보기',"
11,,,,건너뛰기,"text: '건너뛰기',"
12,,,,다음,"text: '다음',"
