,Key,Description,en,ko,origin
0,,,,전체,getMarketingTarget('전체');
1,,,,전체,getMarketingRejectTarget('전체');
2,,,,휴대폰문자,showConfirmAlert('휴대폰문자');
3,,,,이메일,showConfirmAlert('이메일');
4,,,,앱 푸시,showConfirmAlert('앱 푸시');
5,,,,전체,showConfirmAlert('전체');
6,,,,휴대폰문자,showRejectConfirmAlert('휴대폰문자');
7,,,,이메일,showRejectConfirmAlert('이메일');
8,,,,앱 푸시,showRejectConfirmAlert('앱 푸시');
9,,,,전체,showRejectConfirmAlert('전체');
10,,,,정보 수신 동의 안내,"alertTitle: '정보 수신 동의 안내',"
11,,,,yyyy년 MM월 dd일,"'[${DateFormat('yyyy년 MM월 dd일').format(now)}]\n마케팅 정보 수신 동의($target)\n처리 되었어요.',"
12,,,,확인,"alertConfirm: '확인',"
13,,,,정보 수신 동의 안내,"alertTitle: '정보 수신 동의 안내',"
14,,,,yyyy년 MM월 dd일,"'[${DateFormat('yyyy년 MM월 dd일').format(now)}]\n마케팅 정보 수신 거부($target)\n처리 되었어요.',"
15,,,,확인,"alertConfirm: '확인',"
16,,,,약관 전체 동의,"text: '약관 전체 동의',"
17,,,,(필수),"requireText: '(필수)',"
18,,,,서비스 이용약관,"text: '서비스 이용약관',"
19,,,,(필수),"requireText: '(필수)',"
20,,,,개인정보 수집 및 이용,"text: '개인정보 수집 및 이용',"
21,,,,(필수),"requireText: '(필수)',"
22,,,,위치기반 서비스 이용약관,"text: '위치기반 서비스 이용약관',"
23,,,,(선택),"requireText: '(선택)',"
24,,,,휴대폰 문자 수신 동의,"text: '휴대폰 문자 수신 동의',"
25,,,,(선택),"requireText: '(선택)',"
26,,,,이메일 수신 동의,"text: '이메일 수신 동의',"
27,,,,(선택),"requireText: '(선택)',"
28,,,,앱 푸시 수신 동의,"text: '앱 푸시 수신 동의',"
29,,,,마케팅 푸시 알림 수신,"title: '마케팅 푸시 알림 수신',"
30,,,,다음,"text: '다음',"
