,Key,Description,en,ko,origin
0,,,,비밀번호 변경,"alertTitle: '비밀번호 변경',"
1,,,,"소셜 계정으로 로그인 한 경우, 비밀번호는 그 소셜 계정에서 변경 가능해요.","alertContent: '소셜 계정으로 로그인 한 경우, 비밀번호는 그 소셜 계정에서 변경 가능해요.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,변경이 완료 되었어요!,showDefaultToast('변경이 완료 되었어요!');
4,,,,비밀번호 변경,"title: '비밀번호 변경',"
5,,,,현재 비밀번호,"title: '현재 비밀번호',"
6,,,,새 비밀번호,"title: '새 비밀번호',"
7,,,,영문/숫자/특수문자 포함 8~16자,"hintText: '영문/숫자/특수문자 포함 8~16자',"
8,,,,비밀번호를 한번 더 입력해주세요.,"hintText: '비밀번호를 한번 더 입력해주세요.',"
9,,,,변경하기,"text: '변경하기',"
