,Key,Description,en,ko,origin
0,,,,여자,return '여자';
1,,,,남자,return '남자';
2,,,,월~금,return '월~금';
3,,,,월~토,return '월~토';
4,,,,월~일,return '월~일';
5,,,,주말,return '주말';
6,,,,월~토(격주),return '월~토(격주)';
7,,,,주 6일,return '주 6일';
8,,,,주 5일,return '주 5일';
9,,,,주 4일,return '주 4일';
10,,,,주 3일,return '주 3일';
11,,,,주 2일,return '주 2일';
12,,,,주 1일,return '주 1일';
13,,,,요일 협의,return '요일 협의';
14,,,,요일 협의,return '요일 협의';
15,,,,오전,return '오전';
16,,,,오후,return '오후';
17,,,,저녁,return '저녁';
18,,,,종일,return '종일';
19,,,,새벽,return '새벽';
20,,,,오전~오후,return '오전~오후';
21,,,,오후~저녁,return '오후~저녁';
22,,,,저녁~새벽,return '저녁~새벽';
23,,,,새벽~오전,return '새벽~오전';
24,,,,시간 협의,return '시간 협의';
25,,,,정규직,return '정규직';
26,,,,아르바이트,return '아르바이트';
27,,,,계약직,return '계약직';
28,,,,파견직,return '파견직';
29,,,,인턴직,return '인턴직';
30,,,,프리랜서,return '프리랜서';
31,,,,기타,return '기타';
32,,,,기타,return '기타';
33,,,,하루(1일),return '하루(1일)';
34,,,,1주일 이하,return '1주일 이하';
35,,,,1주일 ~ 1개월,return '1주일 ~ 1개월';
36,,,,1개월 ~ 3개월,return '1개월 ~ 3개월';
37,,,,3개월 ~ 6개월,return '3개월 ~ 6개월';
38,,,,6개월 ~ 1년,return '6개월 ~ 1년';
39,,,,1년 이상,return '1년 이상';
40,,,,1년 이상,return '1년 이상';
41,,,,$year년 $month월,return '$year년 $month월';
42,,,,0개월,if (totalMonths == 0) return '0개월';
43,,,,$years년,String yearsString = years > 0 ? '$years년 ' : '';
44,,,,$months개월,String monthsString = months > 0 ? '$months개월' : '';
