,Key,Description,en,ko,origin
0,,,,지역,"type: '지역',"
1,,,,총,"'총 ',"
2,,,,${ConvertService.returnStringWithCommaFormat(widget.totalCount)}건,"'${ConvertService.returnStringWithCommaFormat(widget.totalCount)}건',"
3,,,,직종,"DefineDialog.showJobBottom(context, '직종', jobList,"
4,,,,직종,"'직종',"
5,,,,성별,"DefineDialog.showFilter(context, '성별', genderFilterList,"
6,,,,성별,"'성별',"
7,,,,연령,"'연령',"
8,,,,연령,"'연령',"
9,,,,근무형태,"'근무형태',"
10,,,,근무형태,"'근무형태',"
11,,,,지역 선택,"DefineDialog.showAreaBottom(context, '지역 선택', areaList,"
12,,,,희망근무지,"'희망근무지',"
13,,,,근무기간,"'근무기간',"
14,,,,근무기간,"'근무기간',"
15,,,,경력,"'경력',"
16,,,,경력,"'경력',"
