,Key,Description,en,ko,origin
0,,,,첨부파일,"title: '첨부파일',"
1,,,,프로필 오류,"showError('프로필 오류', '비노출 설정된 프로필입니다.');"
2,,,,비노출 설정된 프로필입니다.,"showError('프로필 오류', '비노출 설정된 프로필입니다.');"
3,,,,프로필 오류,"showError('프로필 오류', '프로필 정보를 가져오는데 실패하였습니다.');"
4,,,,프로필 정보를 가져오는데 실패하였습니다.,"showError('프로필 오류', '프로필 정보를 가져오는데 실패하였습니다.');"
5,,,,확인,"alertConfirm: '확인',"
6,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
7,,,,이미 등록된 관심 기업입니다.,showDefaultToast('이미 등록된 관심 기업입니다.');
8,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
9,,,,관심인재에서 삭제했어요!,showDefaultToast('관심인재에서 삭제했어요!');
10,,,,관심인재로 저장했어요!,showDefaultToast('관심인재로 저장했어요!');
11,,,,제안이 완료 되었어요!,showDefaultToast('제안이 완료 되었어요!');
12,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
13,,,,이미 제안하거나 지원받은 공고입니다.,showDefaultToast('이미 제안하거나 지원받은 공고입니다.');
14,,,,일자리 제안을 받지 않는 회원입니다.,showDefaultToast('일자리 제안을 받지 않는 회원입니다.');
15,,,,희망 직종의 일자리만 제안을 받은 회원입니다.,showDefaultToast('희망 직종의 일자리만 제안을 받은 회원입니다.');
16,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
17,,,,매칭된 공고,"text: '매칭된 공고'),"
18,,,,대화 시작하기,"text: '대화 시작하기'),"
19,,,,개인평가,"title: '개인평가',"
20,,,,${profileData.userInfo.name}이력서.pdf,"name: '${profileData.userInfo.name}이력서.pdf', pdf: pdf);"
21,,,,${profileData.userInfo.name}이력서.pdf,"""name"": '${profileData.userInfo.name}이력서.pdf'"
22,,,,${profileData.userInfo.name}이력서,"saveFile(fileData, '${profileData.userInfo.name}이력서');"
23,,,,이력서가 저장되었습니다.,showDefaultToast('이력서가 저장되었습니다.');
24,,,,이력서가 저장에 실패했습니다.,showDefaultToast('이력서가 저장에 실패했습니다.');
25,,,,신고 사유를 선택해주세요!,showDefaultToast('신고 사유를 선택해주세요!');
26,,,,신고 사유를 입력해주세요!,showDefaultToast('신고 사유를 입력해주세요!');
27,,,,신고가 완료되었어요!,showDefaultToast('신고가 완료되었어요!');
28,,,,본인 프로필은 신고할 수 없습니다.,showDefaultToast('본인 프로필은 신고할 수 없습니다.');
29,,,,동일한 프로필은 하루에 한 번만 신고 할 수 있습니다.,showDefaultToast('동일한 프로필은 하루에 한 번만 신고 할 수 있습니다.');
30,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
31,,,,프로필 신고,"title: '프로필 신고',"
32,,,,프로필에 부적합한 내용 있는 경우 신고해주시면 관리자의 확인을 거쳐 신속하게 조치를 쥐하도 하겠습니다.,"text: '프로필에 부적합한 내용 있는 경우 신고해주시면 관리자의 확인을 거쳐 신속하게 조치를 쥐하도 하겠습니다.',"
33,,,,인재정보,": '인재정보',"
