,Key,Description,en,ko,origin
0,,,,제안이 완료 되었어요!,showDefaultToast('제안이 완료 되었어요!');
1,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
2,,,,이미 제안하거나 지원받은 공고입니다.,showDefaultToast('이미 제안하거나 지원받은 공고입니다.');
3,,,,일자리 제안을 받지 않는 회원입니다.,showDefaultToast('일자리 제안을 받지 않는 회원입니다.');
4,,,,희망 직종의 일자리만 제안을 받은 회원입니다.,showDefaultToast('희망 직종의 일자리만 제안을 받은 회원입니다.');
5,,,,제안에 실패했습니다!,showDefaultToast('제안에 실패했습니다!');
6,,,,이미 등록된 관심 기업입니다.,showDefaultToast('이미 등록된 관심 기업입니다.');
7,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
8,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
9,,,,관심인재에서 삭제했어요!,showDefaultToast('관심인재에서 삭제했어요!');
10,,,,관심인재로 저장했어요!,showDefaultToast('관심인재로 저장했어요!');
11,,,,학력,"'학력',"
12,,,,미기재,? '미기재'
13,,,,경력,"'경력',"
14,,,,요일,"'요일',"
15,,,,미기재,"'미기재',"
16,,,,시간,"'시간',"
17,,,,관심인재,"'관심인재',"
18,,,,일자리 제안,"text: '일자리 제안',"
