,Key,Description,en,ko,origin
0,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
1,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
2,,,,이미 등록된 관심 기업입니다.,showDefaultToast('이미 등록된 관심 기업입니다.');
3,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
4,,,,차단기업에서 삭제했어요!,showDefaultToast('차단기업에서 삭제했어요!');
5,,,,차단기업으로 저장했어요!,showDefaultToast('차단기업으로 저장했어요!');
6,,,,관심기업에서 삭제했어요!,showDefaultToast('관심기업에서 삭제했어요!');
7,,,,관심기업으로 저장했어요!,showDefaultToast('관심기업으로 저장했어요!');
8,,,,관심/차단기업,"title: '관심/차단기업',"
9,,,,관심기업,"tabTitleArr: const ['관심기업', '차단기업'],"
10,,,,차단기업,"tabTitleArr: const ['관심기업', '차단기업'],"
11,,,,관심 기업이 없습니다.,text: activeTab == 0 ? '관심 기업이 없습니다.' : '차단 기업이 없습니다.')
12,,,,차단 기업이 없습니다.,text: activeTab == 0 ? '관심 기업이 없습니다.' : '차단 기업이 없습니다.')
