,Key,Description,en,ko,origin
0,,,,공고를 스크랩했어요!,String msg = type == 'add' ? '공고를 스크랩했어요!' : '스크랩 목록에서 삭제했어요!';
1,,,,스크랩 목록에서 삭제했어요!,String msg = type == 'add' ? '공고를 스크랩했어요!' : '스크랩 목록에서 삭제했어요!';
2,,,,공고 스크랩에 실패하였습니다.,type == 'add' ? '공고 스크랩에 실패하였습니다.' : '공고 스크랩 삭제에 실패하였습니다.';
3,,,,공고 스크랩 삭제에 실패하였습니다.,type == 'add' ? '공고 스크랩에 실패하였습니다.' : '공고 스크랩 삭제에 실패하였습니다.';
4,,,,공고 스크랩에 실패하였습니다.,String msg = type == 'add' ? '공고 스크랩에 실패하였습니다.' : '공고 스크랩 삭제에 실패하였습니다.';
5,,,,공고 스크랩 삭제에 실패하였습니다.,String msg = type == 'add' ? '공고 스크랩에 실패하였습니다.' : '공고 스크랩 삭제에 실패하였습니다.';
6,,,,프로필을 완성한 후에 지원해주세요!,showDefaultToast('프로필을 완성한 후에 지원해주세요!');
7,,,,공고지원에 실패하였습니다.,"showApplyToast('공고지원에 실패하였습니다.', 'delete');"
8,,,,공고에 지원하였습니다.,"showApplyToast('공고에 지원하였습니다.', 'add');"
9,,,,공고지원에 실패하였습니다.,"showApplyToast('공고지원에 실패하였습니다.', 'delete');"
10,,,,추천 알바,"tabTitleArr: const ['추천 알바', '테마별 찾기'],"
11,,,,테마별 찾기,"tabTitleArr: const ['추천 알바', '테마별 찾기'],"
