,Key,Description,en,ko,origin
0,,,,사진 보관함,"text: '사진 보관함',"
1,,,,사진 촬영,"text: '사진 촬영',"
2,,,,삭제,"text: '삭제',"
3,,,,사진을 등록하면 일자리 지원 받을 확률이 올라가요!,"'사진을 등록하면 일자리 지원 받을 확률이 올라가요!',"
4,,,,사진 등록 하기,"'사진 등록 하기',"
5,,,,사진 등록 Guide,"'사진 등록 Guide',"
6,,,,사진 등록이 필수 사항은 아니지만 사진을 등록하면 알바님들에게 신뢰감을 줄 수 있습니다.,"'사진 등록이 필수 사항은 아니지만 사진을 등록하면 알바님들에게 신뢰감을 줄 수 있습니다.',"
7,,,,"5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.","'5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.',"
8,,,,회사 로고 또는 회사를대표하는 실내 외 풍경을 권장합니다.,"'회사 로고 또는 회사를대표하는 실내·외 풍경을 권장합니다.',"
9,,,,선명하고 깨끗한 사진을 권장합니다.,"'선명하고 깨끗한 사진을 권장합니다.',"
10,,,,개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견 시 사전 동의 없이 삭제 될 수 있습니다.),"'개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견 시 사전 동의 없이 삭제 될 수 있습니다.)',"
11,,,,건너뛰기,"text: '건너뛰기',"
12,,,,다음,"text: '다음',"
