,Key,Description,en,ko,origin
0,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
1,,,,상담 삭제되었습니다.,"alertContent: '상담 삭제되었습니다.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,알림,"alertTitle: '알림',"
4,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
5,,,,상담 삭제,"alertTitle: '상담 삭제',"
6,,,,작성하신 상담을 삭제하시겠습니까? n삭제된 내역은 복구되지 않습니다.,"alertContent: '작성하신 상담을 삭제하시겠습니까?\n삭제된 내역은 복구되지 않습니다.',"
7,,,,확인,"alertConfirm: '확인',"
8,,,,취소,"alertCancel: '취소',"
9,,,,상담 신청서,"title: '상담 신청서',"
10,,,,상담 제목,"'상담 제목',"
11,,,,상담 내용,"const TitleItem(title: '상담 내용'),"
12,,,,첨부파일,"const TitleItem(title: '첨부파일'),"
13,,,,상담 답변,"'상담 답변',"
14,,,,등록된 답변이 없습니다.,": '등록된 답변이 없습니다.',"
15,,,,첨부파일,"const TitleItem(title: '첨부파일'),"
16,,,,삭제,"text: ""삭제"","
17,,,,수정하기,"text: ""수정하기"","
18,,,,삭제하기,"text: '삭제하기',"
