,Key,Description,en,ko,origin
0,,,,공고 등록이 완료되었어요!,return '공고 등록이 완료되었어요!';
1,,,,공고 수정이 완료되었어요!,return '공고 수정이 완료되었어요!';
2,,,,공고 재등록이 완료되었어요!,return '공고 재등록이 완료되었어요!';
3,,,,네트워크 연결이 원활하지 않습니다.,return '네트워크 연결이 원활하지 않습니다.';
4,,,,사장님들을 위한 상품을 적용해보세요! n채용 속도 UP! 딱 맞는 구직자를 찾을 확률 UP!,"'사장님들을 위한 상품을 적용해보세요!\n채용 속도 UP! 딱 맞는 구직자를 찾을 확률 UP!',"
5,,,,직무와 딱 맞는 인재를 n하루 만에 찾아 추천까지 해주는,"'직무와 딱 맞는 인재를\n하루 만에 찾아 추천까지 해주는',"
6,,,,미친매칭,"'미친매칭',"
7,,,,선택한 5개 지역에서 n채용공고 목록을 상단 노출해주는,"'선택한 5개 지역에서\n채용공고 목록을 상단 노출해주는',"
8,,,,지역별 상위 노출,"'지역별 상위 노출',"
9,,,,프리미엄 바로가기,"text: '프리미엄 바로가기',"
