,Key,Description,en,ko,origin
0,,,,사업자 인증 실패,"alertTitle: '사업자 인증 실패',"
1,,,,사업자 진위확인에 실패하였어요. n입력하신 정보를 다시 확인해주세요.,"alertContent: '사업자 진위확인에 실패하였어요.\n입력하신 정보를 다시 확인해주세요.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,인증이 완료 되었어요!,showDefaultToast('인증이 완료 되었어요!');
4,,,,유효하지 않은 주소입니다.,showDefaultToast('유효하지 않은 주소입니다.');
5,,,,없는 회원입니다,showDefaultToast('없는 회원입니다');
6,,,,잘못된 비밀번호입니다.,showDefaultToast('잘못된 비밀번호입니다.');
7,,,,인증 코드가 일치하지 않습니다.,showDefaultToast('인증 코드가 일치하지 않습니다.');
8,,,,존재하지 않는 추천인 회원입니다.,showDefaultToast('존재하지 않는 추천인 회원입니다.');
9,,,,"차단된 아이디, 휴대폰 번호입니다.","showDefaultToast('차단된 아이디, 휴대폰 번호입니다.');"
10,,,,차단된 회원입니다.,showDefaultToast('차단된 회원입니다.');
11,,,,로그인이 제한된 회원입니다.,showDefaultToast('로그인이 제한된 회원입니다.');
12,,,,잘못된 주소입니다.,showDefaultToast('잘못된 주소입니다.');
13,,,,쓰기제한된 회원입니다.,showDefaultToast('쓰기제한된 회원입니다.');
14,,,,이미 승인된 회원입니다.,showDefaultToast('이미 승인된 회원입니다.');
15,,,,회원가입에 실패하였습니다.,showDefaultToast('회원가입에 실패하였습니다.');
16,,,,회원가입에 실패하였습니다.,showDefaultToast('회원가입에 실패하였습니다.');
17,,,,기업정보,"'기업정보',"
18,,,,업종,"'업종',"
19,,,,업종검색,"text: '업종검색',"
20,,,,기업주소,"'기업주소',"
21,,,,기업 주소를 입력해주세요.,"hintText: '기업 주소를 입력해주세요.',"
22,,,,주소검색,"text: '주소검색',"
23,,,,사업자 인증,"'사업자 인증',"
24,,,,[ - - 가-힣 a-zA-Z s],"FilteringTextInputFormatter.allow(RegExp(r'[ㄱ-ㅎㅏ-ㅣ가-힣ㆍᆞᆢa-zA-Z\s]')),"
25,,,,가입하기,"text: '가입하기',"
