,Key,Description,en,ko,origin
0,,,,프로필 등록이 완료 되었어요!,showDefaultToast('프로필 등록이 완료 되었어요!');
1,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,알림,"alertTitle: '알림',"
4,,,,"상세히 입력할수록, 제안 받을 확률이 높아져요!","result = '상세히 입력할수록, 제안 받을 확률이 높아져요!';"
5,,,,작성 취소,"alertTitle: '작성 취소',"
6,,,,페이지를 이동하시겠어요? n이동 시 작성된 내용은 저장되지 않아요.,"alertContent: '페이지를 이동하시겠어요?\n이동 시 작성된 내용은 저장되지 않아요.',"
7,,,,확인,"alertConfirm: '확인',"
8,,,,취소,"alertCancel: '취소',"
9,,,,대표 프로필 변경,"alertTitle: '대표 프로필 변경',"
10,,,,대표 프로필은 1개만 설정 가능해요. n기존 대표 프로필을 현재 프로필로 변경 하시겠어요?,"alertContent: '대표 프로필은 1개만 설정 가능해요.\n기존 대표 프로필을 현재 프로필로 변경 하시겠어요?',"
11,,,,변경,"alertConfirm: '변경',"
12,,,,취소,"alertCancel: '취소',"
13,,,,프로필 등록이 완료 되었어요!,showDefaultToast('프로필 등록이 완료 되었어요!');
14,,,,금칙어가 감지되었어요.,showDefaultToast('금칙어가 감지되었어요.');
15,,,,최대 프로필 등록 개수를 초과했습니다.,showDefaultToast('최대 프로필 등록 개수를 초과했습니다.');
16,,,,프로필 등록에 실패하였어요. 다시 시도해주세요.,showDefaultToast('프로필 등록에 실패하였어요. 다시 시도해주세요.');
17,,,,신규 프로필 등록,"title: '신규 프로필 등록',"
18,,,,프로필 제목,"title: '프로필 제목',"
19,,,,희망 근무 지역,"title: '희망 근무 지역',"
20,,,,희망 지역에서 제안을 받거나 공고를 찾아볼 수 있어요!,": '희망 지역에서 제안을 받거나 공고를 찾아볼 수 있어요!',"
21,,,,희망 직종,"title: '희망 직종',"
22,,,,희망하는 직종을 제안 받을 수 있어요!,": '희망하는 직종을 제안 받을 수 있어요!',"
23,,,,희망 근무 스케줄,"title: '희망 근무 스케줄',"
24,,,,"상세히 입력할수록, 제안 받을 확률이 높아져요!",": '상세히 입력할수록, 제안 받을 확률이 높아져요!',"
25,,,,희망 근무 조건,"title: '희망 근무 조건',"
26,,,,"상세히 입력할수록, 제안 받을 확률이 높아져요!",": '상세히 입력할수록, 제안 받을 확률이 높아져요!',"
27,,,,학력,"title: '학력',"
28,,,,학력을 요구하는 업무지원에 훨씬 유리해요!,": '학력을 요구하는 업무지원에 훨씬 유리해요!',"
29,,,,경력,"title: '경력',"
30,,,,경력을 요구하는 업무 지원에 훨씬 유리해요!,": '경력을 요구하는 업무 지원에 훨씬 유리해요!',"
31,,,,총 ${totalCareerMonths ~/ 12}년 ${totalCareerMonths % 12}개월,"'총 ${totalCareerMonths ~/ 12}년 ${totalCareerMonths % 12}개월',"
32,,,,자기소개,"title: '자기소개',"
33,,,,자신만의 특별한 강점을 어필해보세요!,": '자신만의 특별한 강점을 어필해보세요!',"
34,,,,첨부,"title: '첨부',"
35,,,,"사진, 자격증, 포트폴리오 등으로 내 자신을 PR 해요!",": '사진, 자격증, 포트폴리오 등으로 내 자신을 PR 해요!',"
36,,,,일자리 제안 받기,"'일자리 제안 받기',"
37,,,,전체 업무 제안 받음,"label: '전체 업무 제안 받음',"
38,,,,희망 업무만 제안 받음,"label: '희망 업무만 제안 받음',"
39,,,,제안 받지 않음,"label: '제안 받지 않음',"
40,,,,작성한 프로필을 대표 프로필로 설정하기,"'작성한 프로필을 대표 프로필로 설정하기',"
41,,,,등록하기,"text: '등록하기',"
