,Key,Description,en,ko,origin
0,,,,미채용,if (publishingJobpostingTotal > 0 && userInfo.memberStatus == '미채용') {
1,,,,복사되었습니다.,showDefaultToast('복사되었습니다.');
2,,,,초단알바,subject: '초단알바');
3,,,,공유가 완료되었습니다.,"showDefaultToast(""공유가 완료되었습니다."");"
4,,,,마이페이지,"tabTitleArr: const ['마이페이지', '설정'],"
5,,,,설정,"tabTitleArr: const ['마이페이지', '설정'],"
6,,,,포인트,"'포인트',"
7,,,,게재 중 공고,"'게재 중 공고',"
8,,,,관심인재,"'관심인재',"
9,,,,차단인재,"'차단인재',"
10,,,,최근 본 인재,"'최근 본 인재',"
11,,,,신규 공고 등록,"'신규 공고 등록',"
12,,,,긴급구인,"'긴급구인',"
13,,,,보유 초단코인,"'보유 초단코인',"
14,,,,${ConvertService.returnStringWithCommaFormat(userInfo.choco)} 초코,"'${ConvertService.returnStringWithCommaFormat(userInfo.choco)} 초코',"
15,,,,공고 관리,"text: '공고 관리',"
16,,,,프리미엄 서비스,"text: '프리미엄 서비스',"
17,,,,노무 상담 하기,"text: '노무 상담 하기',"
18,,,,계약서/사직서,"text: '계약서/사직서',"
19,,,,별점 관리,"text: '별점 관리',"
20,,,,활동 포인트 관리,"text: '활동 포인트 관리',"
21,,,,친구 초대하기,"text: '친구 초대하기',"
22,,,,"사장님 초대하기 (10,000초코 지급)","'사장님 초대하기 (10,000초코 지급)',"
23,,,,초대를 받은 분이 사장님(구인)회원으로 가입한 이후 초코가 지급됩니다.,"'※ 초대를 받은 분이 사장님(구인)회원으로 가입한 이후 초코가 지급됩니다.',"
24,,,,"(가입 30일 이후 지급, 단 초대 받은 회원이 탈퇴, 재가입 할 경우 지급 안됨)","'(가입 30일 이후 지급, 단 초대 받은 회원이 탈퇴, 재가입 할 경우 지급 안됨)',"
