,Key,Description,en,ko,origin
0,,,,입력하신 내용을 확인 후 다시 저장해주세요.,"alertContent: '입력하신 내용을 확인 후 다시 저장해주세요.',"
1,,,,금칙어: [$forbiddenWord],"redText: '금칙어: [$forbiddenWord]',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,금칙어가 감지되었어요.,"alertTitle: '금칙어가 감지되었어요.',"
4,,,,자기소개,"title: '자기소개',"
5,,,,여러분이 n누구인지 알고싶어요.,"'여러분이\n누구인지 알고싶어요.',"
6,,,,자신만의 특별한 강점을 어필해보세요!,"'자신만의 특별한 강점을 어필해보세요!',"
7,,,,자기소개 혹은 나의 키워드 영역 중 1개 영역 기입 필수,"'자기소개 혹은 나의 키워드 영역 중 1개 영역 기입 필수',"
8,,,,자기소개,"title: '자기소개',"
9,,,,나의 키워드,"'나의 키워드',"
10,,,,더보기,"'더보기',"
11,,,,입력하기,"text: '입력하기',"
