,Key,Description,en,ko,origin
0,,,,인증번호를 전송하였습니다.,showDefaultToast('인증번호를 전송하였습니다.');
1,,,,입력하신 휴대폰 번호가 가입 시 등록된 번호와 일치하지 않습니다. 다시 확인해 주세요.,showDefaultToast('입력하신 휴대폰 번호가 가입 시 등록된 번호와 일치하지 않습니다. 다시 확인해 주세요.');
2,,,,가입 이력이 없는 휴대폰 번호입니다. n다시 확인해주세요.,showDefaultToast('가입 이력이 없는 휴대폰 번호입니다.\n다시 확인해주세요.');
3,,,,인증번호 전송에 실패하였습니다. n다시 시도해주세요.,showDefaultToast('인증번호 전송에 실패하였습니다.\n다시 시도해주세요.');
4,,,,회원가입 시 입력한 n휴대폰 번호 인증이 필요해요.,"'회원가입 시 입력한\n휴대폰 번호 인증이 필요해요.',"
5,,,,휴대폰 인증은 5번 까지 가능해요.,"'휴대폰 인증은 5번 까지 가능해요.',"
6,,,,인증요청,"text: '인증요청',"
7,,,,재전송,"text: '재전송',"
8,,,,휴대폰 번호가 변경되었나요?,"text: '휴대폰 번호가 변경되었나요?',"
9,,,,동일한 휴대폰 인증은 5회까지만 가능합니다. n,'동일한 휴대폰 인증은 5회까지만 가능합니다.\n'
10,,,,잠시후 다시 시도해 주세요.,"'잠시후 다시 시도해 주세요.',"
11,,,,인증,"text: '인증',"
12,,,,휴대폰 인증이 완료되었습니다.,"'휴대폰 인증이 완료되었습니다.',"
13,,,,다음,"text: '다음',"
