,Key,Description,en,ko,origin
0,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
1,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
2,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
3,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
4,,,,확인,"alertConfirm: '확인',"
5,,,,취소,"alertCancel: '취소',"
6,,,,동의가 완료되었습니다.,showDefaultToast('동의가 완료되었습니다.');
7,,,,거절이 완료되었습니다.,showDefaultToast('거절이 완료되었습니다.');
8,,,,동의에 실패하였습니다.,showDefaultToast('동의에 실패하였습니다.');
9,,,,거절에 실패하였습니다.,showDefaultToast('거절에 실패하였습니다.');
10,,,,부,return '부';
11,,,,모,return '모';
12,,,,법정대리인,return '법정대리인';
13,,,,부,return '부';
14,,,,pdfKey의 currentContext가 null입니다.,"print(""pdfKey의 currentContext가 null입니다."");"
15,,,,RenderRepaintBoundary가 null입니다.,"print(""RenderRepaintBoundary가 null입니다."");"
16,,,,친권자 동의서,"await _downloadFile(tempFilePath, '친권자 동의서', type);"
17,,,,이미지 다운로드에 실패하였습니다.,showDefaultToast('이미지 다운로드에 실패하였습니다.');
18,,,,${detailData!.resignationDto.reName}친권자동의서.png,"""name"": '${detailData!.resignationDto.reName}친권자동의서.png'"
19,,,,친권자 동의서가 저장되었습니다.,showDefaultToast('친권자 동의서가 저장되었습니다.');
20,,,,친권자 동의서 저장에 실패했습니다.,showDefaultToast('친권자 동의서 저장에 실패했습니다.');
21,,,,친권자 동의서,"title: '친권자 동의서',"
22,,,,친권자 정보,"'친권자 정보',"
23,,,,이름,"'이름',"
24,,,,생년월일,"'생년월일',"
25,,,,연락처,"'연락처',"
26,,,,근로자와의 관계,"'근로자와의 관계',"
27,,,,주소,"'주소',"
28,,,,근로자 정보,"'근로자 정보',"
29,,,,이름,"'이름',"
30,,,,생년월일,"'생년월일',"
31,,,,연락처,"'연락처',"
32,,,,주소,"'주소',"
33,,,,사업장 정보,"'사업장 정보',"
34,,,,회사명,"'회사명',"
35,,,,전화번호,"'전화번호',"
36,,,,주소,"'주소',"
37,,,,본인은 위 근로자 ${detailData.parentAgreeDto.paWorkerName} (이)가 위 사업장에서 n근로를 하는 것에 대하여 동의합니다.,"'본인은 위 근로자  ${detailData.parentAgreeDto.paWorkerName} (이)가 위 사업장에서\n근로를 하는 것에 대하여 동의합니다.',"
38,,,,친권자: ${detailData.parentAgreeDto.paParentName},"'친권자: ${detailData.parentAgreeDto.paParentName}',"
39,,,,(필수),"'(필수)',"
40,,,,내용에 이상이 없음을 확인하였습니다.,"' 내용에 이상이 없음을 확인하였습니다.',"
41,,,,거절하기,"text: '거절하기',"
42,,,,동의하기,"text: '동의하기',"
43,,,,친권자 동의서 다운로드,"text: '친권자 동의서 다운로드',"
44,,,,이메일로 전송,"text: '이메일로 전송',"
