,Key,Description,en,ko,origin
0,,,,알림,"alertTitle: '알림',"
1,,,,존재하지 않는 이벤트입니다.,"alertContent: '존재하지 않는 이벤트입니다.',"
2,,,,확인,"alertConfirm: '확인',"
3,,,,댓글 내용을 입력해주세요.,showDefaultToast('댓글 내용을 입력해주세요.');
4,,,,응모 완료했어요.,showDefaultToast('응모 완료했어요.');
5,,,,댓글 내용을 입력해주세요.,showDefaultToast('댓글 내용을 입력해주세요.');
6,,,,이벤트에 중복 응모할 수 없습니다.,showDefaultToast('이벤트에 중복 응모할 수 없습니다.');
7,,,,이벤트 응모에 실패하였습니다.,showDefaultToast('이벤트 응모에 실패하였습니다.');
8,,,,신고 사유를 선택해주세요!,showDefaultToast('신고 사유를 선택해주세요!');
9,,,,신고가 완료되었어요!,showDefaultToast('신고가 완료되었어요!');
10,,,,본인의 글은 신고할 수 없습니다.,showDefaultToast('본인의 글은 신고할 수 없습니다.');
11,,,,동일한 댓글은 하루에 한 번만 신고 할 수 있습니다.,showDefaultToast('동일한 댓글은 하루에 한 번만 신고 할 수 있습니다.');
12,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
13,,,,댓글이 삭제되었습니다.,showDefaultToast('댓글이 삭제되었습니다.');
14,,,,댓글이 수정되었습니다.,showDefaultToast('댓글이 수정되었습니다.');
15,,,,신고하기,"title: '신고하기',"
16,,,,이벤트,"title: '이벤트',"
17,,,,댓글 (${eventCommentList.length}),"'댓글 (${eventCommentList.length})',"
18,,,,신고,"showReportAlert('신고', () {"
