,Key,Description,en,ko,origin
0,,,,사진 보관함,"text: '사진 보관함',"
1,,,,사진 촬영,"text: '사진 촬영',"
2,,,,삭제,"text: '삭제',"
3,,,,프로필 사진 등록,"title: '프로필 사진 등록',"
4,,,,사진을 등록하면 일자리 제안 받을 확률이 올라가요!,"'사진을 등록하면 일자리 제안 받을 확률이 올라가요!',"
5,,,,여기를 눌러 사진 업로드,"'여기를 눌러 사진 업로드',"
6,,,,여기를 눌러 사진 업로드,"'여기를 눌러 사진 업로드',"
7,,,,사진 등록 Guide,"'사진 등록 Guide',"
8,,,,사진 등록이 필수 사항은 아니지만 사진을 등록하면 사장님들에게 신뢰감을 줄 수 있습니다.,"'사진 등록이 필수 사항은 아니지만 사진을 등록하면 사장님들에게 신뢰감을 줄 수 있습니다.',"
9,,,,"5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.","'5MB 이내 gif, jpg, jpeg, png 파일만 등록할 수 있습니다.',"
10,,,,개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견시 사전 동의 없이 삭제 될 수 있습니다.),"'개인정보 보호를 위해 개인정보가 포함된 이미지는 가려주세요. (발견시 사전 동의 없이 삭제 될 수 있습니다.)',"
11,,,,단정한 모습의 사진을 권장합니다.,"'단정한 모습의 사진을 권장합니다.',"
12,,,,정면에서 얼굴을 알아볼 수 있는 선명한 사진을 권장합니다.,"'정면에서 얼굴을 알아볼 수 있는 선명한 사진을 권장합니다. ',"
13,,,,사진 등록하기,"text: '사진 등록하기',"
